Title,Leave Year/Name,Public Details/Name,Public Details/Date,Public Details/Status
EMK,2019,Intl. Mother Language Day,2019-02-21,True
,,DNCC Election ,2019-02-28,True
,,Picnic 2019,2019-03-02,True
,,Birth Day of Bangabandhu,2019-03-17,True
,,Independence Day,2019-03-26,True
,,Bangla New Year,2019-04-14,True
,,Shab-e-Barat,2019-04-22,True
,,May Day,2019-05-01,True
,,Shab-e Qadar,2019-06-02,True
,,National Mourning Day,2019-08-15,True
,,Janmashtami,2019-08-23,True
,,Ashura,2019-09-10,True
,,Durga Puja,2019-10-08,True
,,Eid-e-Miladunnabi,2019-11-10,True
,,Victory Day,2019-12-16,True
,,Christmas Day,2019-12-25,True
