email,is_organizer,lastname,firsname
khan@yopmail.com,TRUE,A K Khan & Company,Co.
arong@yopmail.com,TRUE,Aarong,Co.
abc@yopmail.com,TRUE,ABC Radio,Co.
adamjee@yopmail.com,TRUE,Adamjee Jute Mills,Co.
cheical@yopmail.com,TRUE,Advanced Chemical Industries,Co.
agamee@yopmail.com,TRUE,Agamee Prakashani,Co.
agrani@yopmail.com,TRUE,Agrani Bank,Co.
airtel@yopmail.com,TRUE,Airtel Bangladesh,Co.
akij@yopmail.com,TRUE,Akij,Co.
amardesh@yopmail.com,TRUE,Amar Desh,Co.
ananda@yopmaill.com,TRUE,Ananda Group,Co.
shipyard@yopmail.com,TRUE,Ananda Shipyard and Shipways,Co.
