"External ID","Module Name","Technical Name","Display Name"
"base.module_ir_sequence_operating_unit","Ir Sequence Oparating Unit","ir_sequence_operating_unit","Ir Sequence Oparating Unit"
"base.module_amount_to_word_bd","Amount to Word","amount_to_word_bd","Amount to Word"
"base.module_pos_discount","Point of Sale Discounts","pos_discount","Point of Sale Discounts"
"base.module_pos_operating_unit","POS Operating Unit","pos_operating_unit","POS Operating Unit"
"base.module_pos_reprint","Point of Sale Receipt Reprinting","pos_reprint","Point of Sale Receipt Reprinting"
"base.module_account_fam_access","Fixed Assets Access Rights","account_fam_access","Fixed Assets Access Rights"
"base.module_account_fam_install","Fixed Assets Management Installation","account_fam_install","Fixed Assets Management Installation"
"base.module_account_fam_menu","Fixed Assets Management Menu","account_fam_menu","Fixed Assets Management Menu"
"base.module_appointment_menu","Appointment Management Menu","appointment_menu","Appointment Management Menu"
"base.module_emk_purchase_order_access","EMK Purchase Order Access Rights","emk_purchase_order_access","EMK Purchase Order Access Rights"
"base.module_emk_purchase_order_install","EMK Purchase Order Installation","emk_purchase_order_install","EMK Purchase Order Installation"
"base.module_emk_purchase_order_menu","EMK Purchase Order Menu","emk_purchase_order_menu","EMK Purchase Order Menu"
"base.module_stock_indent_access","Stock Indent Access Rights","stock_indent_access","Stock Indent Access Rights"
"base.module_stock_indent_install","Stock Indent Installation","stock_indent_install","Stock Indent Installation"
"base.module_stock_indent_menu","Stock Indent Menu","stock_indent_menu","Stock Indent Menu"
"base.module_stock","Inventory Management","stock","Inventory Management"
"base.module_sale","Sales","sale","Sales"
"base.module_stock_account","WMS Accounting","stock_account","WMS Accounting"
"base.module_point_of_sale","Point of Sale","point_of_sale","Point of Sale"
"base.module_mail","Discuss","mail","Discuss"
"base.module_hr_short_leave","HR Short Leaves","hr_short_leave","HR Short Leaves"
"base.module_hr_holidays","Leave Management","hr_holidays","Leave Management"
"base.module_account","Invoicing","account","Invoicing"
"base.module_gbs_hr_leave_duration_correction","HR Leave Days Duration Correction","gbs_hr_leave_duration_correction","HR Leave Days Duration Correction"
