name,type,date,color,status
Intl. Mother Language Day,Public Holiday,2019-02-21,RED,True
Birth Day of Bangabandhu,Public Holiday,2019-03-17,RED,True
Independence Day,Public Holiday,2019-03-26,RED,True
Bangla New Year,Public Holiday,2019-04-14,RED,True
Shab-e-Barat,Public Holiday,2019-04-21,RED,True
May Day,Public Holiday,2019-05-01,RED,True
Shab-e Qadar,Public Holiday,2019-06-02,RED,True
National Mourning Day,Public Holiday,2019-08-15,RED,True
Janmashtami,Public Holiday,2019-08-23,RED,True
Ashura,Public Holiday,2019-09-10,RED,True
Durga Puja,Public Holiday,2019-10-08,RED,True
Eid-e-Miladunnabi,Public Holiday,2019-11-10,RED,True
Victory Day,Public Holiday,2019-12-16,RED,True
Christmas Day,Public Holiday,2019-12-25,RED,True
Intl. Mother Language Day,Public Holiday,2019-02-21,RED,True
Independence Day,Public Holiday,2019-03-26,RED,True
Bangla New Year,Public Holiday,2019-04-14,RED,True
Shab-e-Barat,Public Holiday,2019-04-21,RED,True
May Day,Public Holiday,2019-05-01,RED,True
Shab-e-Qadar,Public Holiday,2019-06-02,RED,True
Ashura,Public Holiday,2019-09-10,RED,True
Durga Puga,Public Holiday,2019-10-08,RED,True
Eid-e-Miladunnabi,Public Holiday,2019-11-10,RED,True
Victory Day,Public Holiday,2019-12-16,RED,True
Intl. Mother Language Day,Public Holiday,2019-02-21,RED,True
DNCC Election ,Public Holiday,2019-02-28,RED,True
Picnic 2019,Public Holiday,2019-03-02,RED,True
Birth Day of Bangabandhu,Public Holiday,2019-03-17,RED,True
Independence Day,Public Holiday,2019-03-26,RED,True
Bangla New Year,Public Holiday,2019-04-14,RED,True
Shab-e-Barat,Public Holiday,2019-04-21,RED,True
May Day,Public Holiday,2019-05-01,RED,True
Shab-e Qadar,Public Holiday,2019-06-02,RED,True
National Mourning Day,Public Holiday,2019-08-15,RED,True
Janmashtami,Public Holiday,2019-08-23,RED,True
Ashura,Public Holiday,2019-09-10,RED,True
Durga Puja,Public Holiday,2019-10-08,RED,True
Eid-e-Miladunnabi,Public Holiday,2019-11-10,RED,True
Victory Day,Public Holiday,2019-12-16,RED,True
Christmas Day,Public Holiday,2019-12-25,RED,True
