Layer,Code,Name,Parent Account,Type,Active,Pending,Status
Layer 3,111,Capital,11,View Type,TRUE,FALSE,Approved
Layer 3,112,Reserve,11,View Type,TRUE,FALSE,Approved
Layer 3,121,Borrowings under Bangladesh Bank,12,View Type,TRUE,FALSE,Approved
Layer 3,122,Borrowings from other Banks,12,View Type,TRUE,FALSE,Approved
Layer 3,123,Borrowings from other Institutions,12,View Type,TRUE,FALSE,Approved
Layer 3,125,Interest Payable on Borrowings,12,View Type,TRUE,FALSE,Approved
Layer 3,131,Customer Deposits -Current & Others,13,View Type,TRUE,FALSE,Approved
Layer 3,132,Customer Deposits -SB  FD  RD  SND etc.,13,View Type,TRUE,FALSE,Approved
Layer 3,133,Bank & NBFI Deposits -Current & Others,13,View Type,TRUE,FALSE,Approved
Layer 3,134,Bank & NBFI Deposits -FD & Others,13,View Type,TRUE,FALSE,Approved
Layer 3,135,IP on Customer Deposits -Current & Others,13,View Type,TRUE,FALSE,Approved
Layer 3,136,Interest Payable on Customer Deposits -SB  FD  RD  SND etc.,13,View Type,TRUE,FALSE,Approved
Layer 3,137,Interest Payable on Bank & NBFI Deposits,13,View Type,TRUE,FALSE,Approved
Layer 3,138,Customer Deposits -Bills Payable,13,View Type,TRUE,FALSE,Approved
Layer 3,141,Subordinated Bond,14,View Type,TRUE,FALSE,Approved
Layer 3,142,Other Bond,14,View Type,TRUE,FALSE,Approved
Layer 3,151,Interest Suspenses Account,15,View Type,TRUE,FALSE,Approved
Layer 3,152,Other misc. liabilities,15,View Type,TRUE,FALSE,Approved
Layer 3,153,Provision,15,View Type,TRUE,FALSE,Approved
Layer 3,154,Accumulated Depreciation,15,View Type,TRUE,FALSE,Approved
Layer 3,155,Profit and Loss for OBU,15,View Type,TRUE,FALSE,Approved
Layer 3,159,Miscellaneous Liabilities created for Migration,15,View Type,TRUE,FALSE,Approved
Layer 3,211,Cash,21,View Type,TRUE,FALSE,Approved
Layer 3,212,Balance with Bangladesh Bank,21,View Type,TRUE,FALSE,Approved
Layer 3,213,Balance with Agent Bank,21,View Type,TRUE,FALSE,Approved
Layer 3,214,Balance with other banks and Fis,21,View Type,TRUE,FALSE,Approved
Layer 3,221,Money at Call & Short Notice,22,View Type,TRUE,FALSE,Approved
Layer 3,231,Government,23,View Type,TRUE,FALSE,Approved
Layer 3,232,Other Investments,23,View Type,TRUE,FALSE,Approved
Layer 3,233,Inv in Subsidiaries,23,View Type,TRUE,FALSE,Approved
Layer 3,241,Term Loans,24,View Type,TRUE,FALSE,Approved
