Layer,Code,Name,Parent Account,Type,Allow Reconciliation,Active,Pending,Status
Layer 5,11101001,Paid up Capital,11101,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,11201001,General Reserve,11201,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,11202001,Statutory Reserve,11202,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,11203001,Revaluation gain on HTM Securities,11203,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,11203002,Revaluation gain on HFT Securities (T Bill),11203,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,11203003,Revaluation gain on HFT Securities (T Bond),11203,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,11204001,Share Premium,11204,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,11205001,Retained earnings,11205,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,11206001,Foreign Currency Translational Gain/ Loss,11206,Liabilities: Office Accounts,,TRUE,FALSE,Approved
Layer 5,12101001,EGBMP Fund,12101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12101002,Special Repo,12101,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12101003,Assured Liquidity Support (ALS-Repo),12101,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12101004,Export Dev. Fund USD,12101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12101005,Repo Bangladesh Bank,12101,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12102001,JICA Fund SME,12102,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103001,Solar Energy  Bio Gas EFT & HHK fund,12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103002,Taka 10 Account Holders,12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103003,Woman Enterpreneurs Fund (SME),12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103004,SME Loan Refinance,12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103005,Home Loan Refinance <Borrowings>,12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103006,ADB Fund (SME),12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103007,ADB Fund (Brick Klin),12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103008,EGBMP Fund (SME),12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103009,JICA Fund (SME),12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103010,Agro-Processing Rural Industries Fund,12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103011,Bangladesh Bank Fund (Others),12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12103012,Agro-Processing Rural Industries Fund Old,12103,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12104001,Investment Promotion and Financing Fund (IPFF) USD,12104,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12104002,Investment Promotion and Financing Facility (IPFF) GBP,12104,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12104101,Investment Promotion and Financing Fund (IPFF) USD OBU,12104,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12105001,Long Term Financing Facility (LTFF) under FSSP,12105,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12106001,Borrowing under EDF from Bangladesh Bank USD,12106,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12201001,Term Borrowing in FC <USD>,12201,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12201002,Term Borrowing in FC <GBP>,12201,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12202001,Call Borrowing <BDT>,12202,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12203001,Term Borrowing <BDT>,12203,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12204001,Repo T Bill,12204,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12204002,Repo T Bond,12204,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12205001,Call Borrowing in FC <USD>,12205,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12205002,Call Borrowing in FC <GBP>,12205,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12206001,Short Term Borrowing <BDT>,12206,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12207001,Short Term Borrowing <USD>,12207,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12207002,Short Term Borrowing <GBP>,12207,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12209003,Term Borrowing in FC <USD> from Banks abroad by OBU,12209,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12209001,Term Borrowing in FC <USD> from local Banks other than MTB by OBU,12209,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12209002,Term Borrowing in FC <USD> from MTB by OBU,12209,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12208001,Overnight Borrowing <BDT>,12208,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12301001,SME Foundation,12301,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12302001,SME Foundation Fund (MTB Youth Line),12302,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12302002,SME Foundation Fund (MTB Gunabati),12302,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12303001,Borrowings from NBFI,12303,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12304001,Term Borrowing in FC <USD> from Fin Institutions abroad by OBU,12304,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
Layer 5,12501001,Interest Payable on Borrowings from LTFF under FSSP,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12501002,Interest Payable on Borrowing -IPFF Fund USD,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12501003,Interest Payable on Borrowing -IPFF Fund GBP,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12501004,Interest Payable on Borrowings from BB-others,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12501005,Interest Payable on Borrowings from BB-under prefinance,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12501006,Interest Payable on Borrowings from BB-under Refinance,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12501007,Intt Payable on Borrowing under EDF from BB,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12501102,Interest Payable on Borrowing -IPFF Fund USD OBU,12501,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12502001,Interest Payable on Term Borrowing in FC <USD>,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502002,Interest Payable on Term Borrowing in FC <GBP>,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502003,Interest Payable on Term Borrowings BDT,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502004,Interest Payable on Call Borrowing BDT,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502006,Interest payable on Call Borrowing in FC <USD>,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502007,Interest payable on Call Borrowing in FC <GBP>,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502008,Interest Payable A/c- Repo T Bond,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502009,Interest Payable on Short Term Borrowing in FC <USD>,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502010,Interest Payable on Short Term Borrowing in FC <GBP>,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502011,Interest Payable on Short Term Borrowings BDT,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12502012,Interest Payable on Overnight Borrowing <BDT>,12502,Treasury Liabilities,,TRUE,FALSE,Approved
Layer 5,12503001,Interest Payable on Borrowings from SME Foundation,12503,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12503002,Interest Payable on Borrowing from NBFI,12503,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12504001,IP on SME Foundation Fund (MTB Youth Line),12504,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,12504002,IP on SME Foundation Fund (MTB Gunabati),12504,Interest Payable Accounts,,TRUE,FALSE,Approved
Layer 5,13101001,Current Account Regular <CAREG>,13101,Liabilities: Customer Accounts,,TRUE,FALSE,Approved
