Name,Can be Purchased,Product Type,Internal Category,Expense Account,Asset Type,Asset Category,Active,Pending,Status
Bangladesh Institute Of Bank Management,TRUE,service,All,42310001,,,True,False,approve
ATM Machine,TRUE,asset,All,25103002,32,3214,True,False,approve
Building,TRUE,asset,All,25101002,12,1202,True,False,approve
Car Maintenance,TRUE,service,All,42409501,,,True,False,approve
Cash Deposit Machine,TRUE,asset,All,25103002,32,3216,True,False,approve
CCTV System,TRUE,asset,All,25103002,32,3212,True,False,approve
Chair,TRUE,asset,All,25102002,21,2101,True,False,approve
Coat Stand,TRUE,asset,All,25102002,21,2111,True,False,approve
Computer CPU,TRUE,asset,All,25104001,41,4102,True,False,approve
Computer Monitor,TRUE,asset,All,25104001,41,4103,True,False,approve
Computer & Peripherals,TRUE,asset,All,25104001,41,4102,True,False,approve
Connectivity,TRUE,service,All,42324001,,,True,False,approve
Courier Service,TRUE,service,All,42501002,,,True,False,approve
Directors Fee,TRUE,service,All,42801001,,,True,False,approve
Door,TRUE,asset,All,25102002,21,2107,True,False,approve
Drawer Unit,TRUE,asset,All,25102002,21,2103,True,False,approve
Electric Equipment Others,TRUE,asset,All,25103001,31,3199,True,False,approve
Electricity Charge,TRUE,service,All,42204001,,,True,False,approve
Entertainment,TRUE,service,All,42305001,,,True,False,approve
Fake Note or Cheque Detector,TRUE,asset,All,25103002,32,3211,True,False,approve
Fan,TRUE,asset,All,25103001,31,3107,True,False,approve
Fax Machine,TRUE,asset,All,25103001,31,3104,True,False,approve
Fixture,TRUE,asset,All,25102001,22,2201,True,False,approve
Fridge,TRUE,asset,All,25103001,31,3109,True,False,approve
Furniture,TRUE,asset,All,25102002,21,2199,True,False,approve
Generator,TRUE,asset,All,25103001,31,3105,True,False,approve
Hoarding/Neon Sign,TRUE,service,All,42703004,,,True,False,approve
Interior Decoration,TRUE,asset,All,25102001,22,2201,True,False,approve
Internet Connectivity,TRUE,service,All,42324001,,,True,False,approve
IPS,TRUE,asset,All,25103001,31,3103,True,False,approve
KIOSK Furniture,TRUE,asset,All,25102002,21,2112,True,False,approve
Land,TRUE,asset,All,25101001,11,1101,True,False,approve
Land & Building,TRUE,asset,All,25101002,12,1201,True,False,approve
Laptop,TRUE,asset,All,25104001,41,4104,True,False,approve
Legal Service,TRUE,service,All,42601002,,,True,False,approve
Locker,TRUE,asset,All,25102002,21,2108,True,False,approve
Table,TRUE,asset,All,25102002,21,2102,True,False,approve
Micro oven,TRUE,asset,All,25103001,31,3108,True,False,approve
Mobile Phone Set,TRUE,asset,All,25103002,32,3207,True,False,approve
Motor Car,TRUE,asset,All,25105001,51,5101,True,False,approve
Motor Cycle,TRUE,asset,All,25105002,52,5201,True,False,approve
Motor Vehicle,TRUE,asset,All,25105001,51,5101,True,False,approve
Networking,TRUE,asset,All,25103002,32,3204,True,False,approve
Newspaper Advertisement,TRUE,service,All,42703002,,,True,False,approve
Note Binding Machine,TRUE,asset,All,25103002,32,3208,True,False,approve
Note Counting Machine,TRUE,asset,All,25103002,32,3209,True,False,approve
Note Sorting Machine,TRUE,asset,All,25103002,32,3210,True,False,approve
Officer Chair,TRUE,asset,All,25102002,21,2101,True,False,approve
Other Office Equipment,TRUE,asset,All,25103002,32,3208,True,False,approve
Others Furniture,TRUE,asset,All,25102002,21,2199,True,False,approve
Photocopier Machine,TRUE,asset,All,25103001,31,3102,True,False,approve
POS Machine,TRUE,asset,All,25103002,32,3221,True,False,approve
Printer,TRUE,asset,All,25103002,32,3202,True,False,approve
Printer-Mini,TRUE,asset,All,25103002,32,3202,True,False,approve
Professional,TRUE,service,All,42311001,,,True,False,approve
Projector,TRUE,asset,All,25103001,31,3106,True,False,approve
Repair & Maintenance- Electrical Equipment,TRUE,service,All,42409301,,,True,False,approve
Router,TRUE,asset,All,25103002,32,3206,True,False,approve
Scaner,TRUE,asset,All,25103002,31,3203,True,False,approve
Repair & Maintenance- Office Equipment,TRUE,service,All,42409302,,,True,False,approve
Security Service,TRUE,service,All,42301001,,,True,False,approve
Server,TRUE,asset,All,25104001,41,4101,True,False,approve
Sofa,TRUE,asset,All,25102002,21,2106,True,False,approve
Software,TRUE,asset,All,25201001,61,6101,True,False,approve
Sound System,TRUE,asset,All,25103002,32,3213,True,False,approve
Air-Conditioner,TRUE,asset,All,25103001,31,3101,True,False,approve
Stabilazer,TRUE,asset,All,25103001,31,3112,True,False,approve
Steel Almirah,TRUE,asset,All,25102002,21,2105,True,False,approve
Steel Cabinet,TRUE,asset,All,25102002,21,2104,True,False,approve
Steel Rack,TRUE,asset,All,25102002,21,2110,True,False,approve
