name,Account Payable,Active,Pending,State
LOS Technology Limited,13105037,TRUE,FALSE,approve
International computer center,13105037,TRUE,FALSE,approve
Smart Technologies(BD)Ltd.,13105037,TRUE,FALSE,approve
Global Brand Private Limited,13105037,TRUE,FALSE,approve
Germany Computer & Telecom Ltd.,13105037,TRUE,FALSE,approve
GS TECHNOLOGY,13105037,TRUE,FALSE,approve
MetroNet Bangladesh Limited,13105037,TRUE,FALSE,approve
EXPRESS SYSTEMS LIMITED,13105037,TRUE,FALSE,approve
Software Shop Limited,13105037,TRUE,FALSE,approve
Alap Communication Limited,13105037,TRUE,FALSE,approve
RmR Studio 14,13105037,TRUE,FALSE,approve
Giga Power Corporation,13105037,TRUE,FALSE,approve
National Systems Solutions Pvt. Ltd.,13105037,TRUE,FALSE,approve
Tech Republic Limited,13105037,TRUE,FALSE,approve
AR Enterprise,13105037,TRUE,FALSE,approve
Master Simex Paper Ltd.,13105037,TRUE,FALSE,approve
Edit Exterior & Interior,13105037,TRUE,FALSE,approve
ORIENT COMPUTERS,13105037,TRUE,FALSE,approve
Toggi Services Limited.,13105037,TRUE,FALSE,approve
Data edge Limited,13105037,TRUE,FALSE,approve
United Business Machiners,13105037,TRUE,FALSE,approve
Square InformatiX Ltd.,13105037,TRUE,FALSE,approve
TRAX Technologies Limited,13105037,TRUE,FALSE,approve
Assist,13105037,TRUE,FALSE,approve
Extreme Engineering Development Consultant,13105037,TRUE,FALSE,approve
LID POWER SOLUTIONS LIMITED,13105037,TRUE,FALSE,approve
An Expression,13105037,TRUE,FALSE,approve
Technomedia Limited,13105037,TRUE,FALSE,approve
Devnet Limited,13105037,TRUE,FALSE,approve
INFOSONIK SYSTEMS LIMITED,13105037,TRUE,FALSE,approve
BDCOM Online ltd,13105037,TRUE,FALSE,approve
Halim Engineering,13105037,TRUE,FALSE,approve
Aegis Services Limited,13105037,TRUE,FALSE,approve
VIGILENS,13105037,TRUE,FALSE,approve
Pakiza Technovation Limited,13105037,TRUE,FALSE,approve
NHQ Distributions Pvt Ltd,13105037,TRUE,FALSE,approve
Vista interiors limited,13105037,TRUE,FALSE,approve
Fateha Engineering & Refrigeration,13105037,TRUE,FALSE,approve
Top one,13105037,TRUE,FALSE,approve
Silkways Card and Printing Ltd,13105037,TRUE,FALSE,approve
Zara Zaman Technology Ltd.,13105037,TRUE,FALSE,approve
Rain Computers,13105037,TRUE,FALSE,approve
Fire Enterprise,13105037,TRUE,FALSE,approve
B-Trac Technologies Ltd,13105037,TRUE,FALSE,approve
Super Service,13105037,TRUE,FALSE,approve
MULTILINK International Co. Ltd,13105037,TRUE,FALSE,approve
Penta Global Ltd,13105037,TRUE,FALSE,approve
Excel Intelligent Solutions Ltd,13105037,TRUE,FALSE,approve
Growth Technology LTD,13105037,TRUE,FALSE,approve
LIFESTYLE,13105037,TRUE,FALSE,approve
Preview,13105037,TRUE,FALSE,approve
IRONCO,13105037,TRUE,FALSE,approve
TRUSTAIRA Ltd,13105037,TRUE,FALSE,approve
SHRIJON STAMVA,13105037,TRUE,FALSE,approve
ADN Technologies Limited,13105037,TRUE,FALSE,approve
Corporate Projukti Limited,13105037,TRUE,FALSE,approve
Aspire Tech Services and Solutions Limited,13105037,TRUE,FALSE,approve
BracNet Limited,13105037,TRUE,FALSE,approve
CDS System & Solution Ltd,13105037,TRUE,FALSE,approve
Absolute Limited,13105037,TRUE,FALSE,approve
Skynet Worldwide Express Limited,13105037,TRUE,FALSE,approve
Premium Connectivity Limited,13105037,TRUE,FALSE,approve
General Automation Ltd,13105037,TRUE,FALSE,approve
Prime net Limited,13105037,TRUE,FALSE,approve
Logic Tools,13105037,TRUE,FALSE,approve
Corporate Gift World,13105037,TRUE,FALSE,approve
Rightway Engineers and Architects Ltd,13105037,TRUE,FALSE,approve
PRONAYON,13105037,TRUE,FALSE,approve
OPTIMAL TECHNOLOGY (PVT.) LTD.,13105037,TRUE,FALSE,approve
Jahid Office Equipment,13105037,TRUE,FALSE,approve
MIR AKHTER HOSSAIN LTD AND OTHER,13105037,TRUE,FALSE,approve
DEXTEROUS,13105037,TRUE,FALSE,approve
DHANMONDI BR,13105037,TRUE,FALSE,approve
DOC,13105037,TRUE,FALSE,approve
NIKAN ALL,13105037,TRUE,FALSE,approve
DHAN,13105037,TRUE,FALSE,approve
AD MAMUN,13105037,TRUE,FALSE,approve
AD MAMUNUR,13105037,TRUE,FALSE,approve
ABESH HOSSAIN,13105037,TRUE,FALSE,approve
NIKAN ALLIANCE,13105037,TRUE,FALSE,approve
REG,13105037,TRUE,FALSE,approve
VISTA,13105037,TRUE,FALSE,approve
Assist,13105037,TRUE,FALSE,approve
ZEN BUILDERS,13105037,TRUE,FALSE,approve
PRONAYON,13105037,TRUE,FALSE,approve
