Name,Asset Type Name,Code,Journal,Asset Account,Asset Awaiting Allocation,Depreciation Exp. A/C,Accumulated Depreciation A/C,Asset Loss A/C,Asset Gain A/C,Asset Awaiting Disposal,Asset Life (In Year),Computation Method,Depreciation Factor,is_custom_depr,Active,Pending,State
Land,Land,1101,VB Journal,25101001,26806001,,,42326001,34110001,26812001,0,No Depreciation,,True,TRUE,FALSE,approve
Land & Building,Building,1201,VB Journal,25101002,26806001,42401001,15401001,42326001,34110001,26812001,0,Reducing Method,0.025,True,TRUE,FALSE,approve
Building,Building,1202,VB Journal,25101002,26806001,42401001,15401001,42326001,34110001,26812001,0,Reducing Method,0.025,True,TRUE,FALSE,approve
Chair,Furniture,2101,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Table,Furniture,2102,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Drawer Unit,Furniture,2103,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Steel Cabinat,Furniture,2104,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Steel Almira,Furniture,2105,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Sofa,Furniture,2106,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Door,Furniture,2107,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Locker,Furniture,2108,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Vault,Furniture,2109,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Steel Rack,Furniture,2110,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
Coat Stand,Furniture,2111,VB Journal,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Method,0.2,True,TRUE,FALSE,approve
