Name,Asset Type Name,Code,Journal,Asset Account,Asset Awaiting Allocation,Depreciation Exp. A/C,Accumulated Depreciation A/C,Asset Loss A/C,Asset Gain A/C,Asset Awaiting Disposal,Asset Life (In Year),One Entry (In Month),Computation Method,Degressive Factor,is_custom_depr,Active,Pending,State
Building,Building,2000,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Land and Building,Building,2001,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Interior Decoration,Fixture,2002,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Interior Decoration (ATM),Fixture,2003,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Interior Decoration (KIOSK),Fixture,2004,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Chair,Furniture,2005,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Table,Furniture,2006,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Drawer Unit,Furniture,2007,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Steel Cabinat,Furniture,2008,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Steel Almira,Furniture,2009,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Sofa,Furniture,2010,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
KIOSK Furniture,Furniture,2011,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Others,Furniture,2012,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Server,Computers & Peripherals,2013,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Computer Monitor,Computers & Peripherals,2014,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Computer CPU,Computers & Peripherals,2015,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Laptop,Computers & Peripherals,2016,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
AirConditioner,Electric Equipment,2017,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Photo Copaier,Electric Equipment,2018,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Fax Machine,Electric Equipment,2019,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Generator,Electric Equipment,2020,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Projector,Electric Equipment,2021,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Fan,Electric Equipment,2022,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Micro oven,Electric Equipment,2023,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
Fridge,Electric Equipment,2024,Vendor Bill,11201001,11205001,11203003,11201001,11202001,11204001,11204001,1,1,Reducing Method,0.025,True,TRUE,FALSE,approve
