Asset Name,Asset Type,Asset Category,Batch No,Vendor,Invoice,Bill Date,Purchase Date,Usage Date,Cost Centre,Purchase Branch,Current Branch,Current Sub Operating Unit,Currency,Cost Value,Book Value,Salvage Value,Accumulated Depreciation,Adjusted Amount,Warranty Date,Model,asset_description,note,method,method_progress_factor,method_time,depreciation_year,method_period,state
MTB TOWER CONSTRUCTION,Building,Building,Initial,MIR AKHTER HOSSAIN LTD AND OTHER,,,23/4/2015,23/4/2015,,001,001,001,BDT,458135099,411209353,,46925746,,23/4/2015,No Model,<p>Asset Description are given in here</p>,<p>Asset Notes are given in here</p>,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB TOWER CONSTRUCTION CONSULT,Building,Land and Building,Initial,DEXTEROUS,,,23/4/2015,23/4/2015,,001,001,001,BDT,2278866,2081378,,197488,,23/4/2015,No Model,<p>Asset Description</p>,<p>Asset Note<br></p>,Reducing Method,0.025,Number of Depreciations,1,1,open
15/A DHANM 1/12/03PURCH,Building,Land and Building,Initial,DHANMONDI BR,,,1/12/2012,1/12/2012,,001,001,001,BDT,11393980,7555842,,3838138,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
OFF SPACE DH BR 20/10/08PUR,Building,Land and Building,Initial,DHANMONDI BR,,,1/12/2012,1/12/2012,,001,001,001,BDT,31050000,23581485,,7468515,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
VAT-REG DHAN14/07/07,Building,Land and Building,Initial,DHANMONDI BR,,,1/12/2012,1/12/2012,,001,001,001,BDT,39000,31013,,7987,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
COL DEED MTB TOWER7/12/10,Building,Land and Building,Initial,DOC,,,1/12/2012,1/12/2012,,001,001,001,BDT,60800,48853,,11947,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE 5TH FLR29/12/11,Building,Land and Building,Initial,NIKAN ALL,,,29/12/2011,29/12/2011,,001,001,001,BDT,429623700,354674132,,74949568,,12/1/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"MUTATION, DHAN8/5/12",Building,Land and Building,Initial,DHAN,,,1/12/2012,1/12/2012,,001,001,001,BDT,176000,146525,,29475,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
TRN FEE 5TH FLR MTB CENTRE,Building,Land and Building,Initial,AD MAMUN,,,1/12/2012,1/12/2012,,001,001,001,BDT,374750,313955,,60795,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
P PATH REG 20/09/12,Building,Land and Building,Initial,AD MAMUNUR,,,1/12/2012,1/12/2012,,001,001,001,BDT,7585600,6370738,,1214862,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
69/1 PANTHAPATH20/09/12,Building,Land and Building,Initial,ABESH HOSSAIN,,,1/12/2012,1/12/2012,,001,001,001,BDT,46720000,39235341,,7484659,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
69/1 PANTHAPATH15/10/12,Building,Land and Building,Initial,ABESH HOSSAIN,,,1/12/2012,1/12/2012,,001,001,001,BDT,8299000,6985152,,1313848,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE 4TH FLOOR,Building,Land and Building,Initial,NIKAN ALLIANCE,,,24/12/2012,24/12/2012,,001,001,001,BDT,425000000,359604751,,65395249,,24/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
REG COST MTB CEN 5TH FLR,Building,Land and Building,Initial,REG,,,23/12/2012,23/12/2012,,001,001,001,BDT,35004000,29615856,,5388144,,23/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION DATA CENTRE,Fixture,Interior Decoration,Initial,VISTA,,,9/5/2019,9/5/2019,,001,001,001,BDT,800000,781808,,18192,,9/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION WORK,Fixture,Interior Decoration,Initial,ASSIST,,,25/5/2019,25/5/2019,,001,001,001,BDT,1445450,1418917,,26533,,25/5/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-CENTRE 1ST FLO,Fixture,Interior Decoration,Initial,VISTA,,,1/8/2018,1/8/2018,,001,001,001,BDT,336857,304078,,32779,,1/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-SQR-LEVEL 5,Fixture,Interior Decoration,Initial,ASSIST,,,26/5/2018,26/5/2018,,001,001,001,BDT,587297,519994,,67303,,26/5/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-CENTRE 1ST FLO,Fixture,Interior Decoration,Initial,VISTA,,,5/6/2018,5/6/2018,,001,001,001,BDT,413900,367537,,46363,,5/6/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR WORL-TOWER BASEMENT 3,Fixture,Interior Decoration,Initial,VISTA,,,13/9/2018,13/9/2018,,001,001,001,BDT,520098,475261,,44837,,13/9/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-3RD FLOOR,Fixture,Interior Decoration,Initial,VISTA,,,13/8/2018,13/8/2018,,001,001,001,BDT,757280,685937,,71343,,13/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR&RENOVATION WORK-5TH F,Fixture,Interior Decoration,Initial,VISTA,,,1/4/2018,1/4/2018,,001,001,001,BDT,9381275,8173056,,1208219,,1/4/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-ROOFTOP,Fixture,Interior Decoration,Initial,VISTA,,,27/5/2018,27/5/2018,,001,001,001,BDT,907800,804002,,103798,,27/5/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-CENTRE 5TH FLO,Fixture,Interior Decoration,Initial,VISTA,,,1/7/2018,1/7/2018,,001,001,001,BDT,4512000,4036853,,475147,,1/7/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK-3RD FLOOR,Fixture,Interior Decoration,Initial,ZEN BUILDERS,,,5/6/2018,5/6/2018,,001,001,001,BDT,706255,627144,,79111,,5/6/2021,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION WORK-BASEMENT1&2,Fixture,Interior Decoration,Initial,ZEN BUILDERS,,,21/3/2019,21/3/2019,,001,001,001,BDT,261900,252429,,9471,,21/3/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"ID-MTB CENTRE(2ND,3RD&4TF FLOO",Fixture,Interior Decoration,Initial,VISTA,,,3/4/2019,3/4/2019,,001,001,001,BDT,2188500,2117149,,71351,,3/4/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR DECORATION-CTG OFFICE,Fixture,Interior Decoration,Initial,PRONAYON,,,3/2/2019,3/2/2019,,001,001,001,BDT,591722,562865,,28857,,3/2/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION WORK-SQR 5TH FLO,Fixture,Interior Decoration,Initial,ASSIST,,,3/2/2019,3/2/2019,,001,001,001,BDT,262500,249699,,12801,,3/2/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION ROOF TOP-CEMTRE,Fixture,Interior Decoration,Initial,VISTA,,,6/3/2019,6/3/2019,,001,001,001,BDT,448000,429958,,18042,,6/3/2019,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENT ENERGY SAV AUTOMATION,Fixture,Interior Decoration,Initial,,,,9/5/2011,9/5/2011,,001,001,001,BDT,8384555,5298013,,3086542,,9/5/2011,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE FINAL,Fixture,Interior Decoration,Initial,,,,4/10/2010,4/10/2010,,001,001,001,BDT,25880558,15750172,,10130386,,4/10/2010,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ID RENOVATION WORK-SQR 5TH FLO,Fixture,Interior Decoration,Initial,,,,13/8/2018,13/8/2018,,001,001,001,BDT,543360,492169,,51191,,13/8/2018,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"MTB SQUARE 4TH,5TH&ROOF TOP,TI",Fixture,Interior Decoration,Initial,,,,26/1/2012,26/1/2012,,001,001,001,BDT,14333450,7341785,,6991665,,26/1/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORK MTB CENTRE,Fixture,Interior Decoration,Initial,,,,18/7/2013,18/7/2013,,001,001,001,BDT,606310,321790,,284520,,18/7/2013,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORKS AT MTB CENTRE,Fixture,Interior Decoration,Initial,,,,30/9/2013,30/9/2013,,001,001,001,BDT,851449,461493,,389956,,30/9/2013,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
PVC CONDUIT WORKS FOR CCTV CHO,Fixture,Interior Decoration,Initial,,,,9/4/2013,9/4/2013,,001,001,001,BDT,798990,411885,,387105,,9/4/2013,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
Consultancy Fee,Fixture,Interior Decoration,Initial,,,,28/2/2013,28/2/2013,,001,001,001,BDT,1100000,560350,,539650,,28/2/2013,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
GROUND & 1ST FLOOR,Fixture,Interior Decoration,Initial,,,,9/9/2014,9/9/2014,,001,001,001,BDT,3044000,1822373,,1221627,,9/9/2014,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB TOWER-CHO PART,Fixture,Interior Decoration,Initial,,,,23/4/2015,23/4/2015,,001,001,001,BDT,59550162,38055877,,21494285,,23/4/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION OF UPS ROOM,Fixture,Interior Decoration,Initial,,,,21/11/2012,21/11/2012,,001,001,001,BDT,433805,268006,,165799,,21/11/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE3RD FLR-RENOVATION,Fixture,Interior Decoration,Initial,,,,31/8/2015,31/8/2015,,001,001,001,BDT,2069005,1372793,,696212,,31/8/2015,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
MTB CENTRE RENOVATION WORKS,Fixture,Interior Decoration,Initial,,,,15/7/2014,15/7/2014,,001,001,001,BDT,875672,515948,,359724,,15/7/2014,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
Consultancy of Interior Works,Fixture,Interior Decoration,Initial,,,,1/3/2014,1/3/2014,,001,001,001,BDT,572886,324349,,248537,,1/3/2014,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
RENOVATION WORKS AT MTB CENTRE,Fixture,Interior Decoration,Initial,,,,24/12/2013,24/12/2013,,001,001,001,BDT,629000,349736,,279264,,24/12/2013,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIOR TRN FROM CHO,Fixture,Interior Decoration,Initial,,,,29/3/2012,29/3/2012,,001,001,001,BDT,793646,367016,,426630,,29/3/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
INTERIORS TRNSFR FROM CHO,Fixture,Interior Decoration,Initial,,,,29/3/2012,29/3/2012,,001,001,001,BDT,3174584,1112365,,2062219,,29/3/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
"ELECTRICAL WORKS CENTRAL UPS ROOM,TI MTB SQUR.",Fixture,Interior Decoration,Initial,,,,21/8/2012,21/8/2012,,001,001,001,BDT,1429730,689680,,740050,,21/8/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
ADD WORK MTB CENTRE,Fixture,Interior Decoration,Initial,,,,4/3/2011,4/3/2011,,001,001,001,BDT,2852284,1184834,,1667450,,4/3/2011,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
