Division,District,Upazila,Postal Code
Dhaka,Dhaka,Dhaka,1206
Dhaka,Dhaka,Dhamrai,1350
Dhaka,Dhaka,Dhanmondi,1209
Dhaka,Dhaka,Gulshan,1213
Dhaka,Dhaka,Gulshan,1214
Dhaka,Dhaka,Gulshan,1212
Dhaka,Dhaka,Jatrabari,1236
Dhaka,Dhaka,Joypara,1331
Dhaka,Dhaka,Joypara,1332
Dhaka,Dhaka,Joypara,1331
Dhaka,Dhaka,Keraniganj,1312
Dhaka,Dhaka,Keraniganj,1311
Dhaka,Dhaka,Keraniganj,1313
Dhaka,Dhaka,Keraniganj,1310
Dhaka,Dhaka,Khilgaon,1219
Dhaka,Dhaka,Khilkhet,1229
Dhaka,Dhaka,Lalbag,1211
Dhaka,Dhaka,Mirpur,1216
Dhaka,Dhaka,Mohammadpur,1207
Dhaka,Dhaka,Mohammadpur,1225
Dhaka,Dhaka,Motijheel,1222
Dhaka,Dhaka,Motijheel,1223
Dhaka,Dhaka,Nawabganj,1323
Dhaka,Dhaka,Nawabganj,1325
Dhaka,Dhaka,Nawabganj,1322
Dhaka,Dhaka,Nawabganj,1321
Dhaka,Dhaka,Nawabganj,1324
Dhaka,Dhaka,Nawabganj,1320
Dhaka,Dhaka,New market,1205
Dhaka,Dhaka,Palton,1000
Dhaka,Dhaka,Ramna,1217
Dhaka,Dhaka,Sabujbag,1214
Dhaka,Dhaka,Savar,1348
Dhaka,Dhaka,Savar,1341
Dhaka,Dhaka,Savar,1349
Dhaka,Dhaka,Savar,1342
Dhaka,Dhaka,Savar,1346
Dhaka,Dhaka,Savar,1347
Dhaka,Dhaka,Savar,1340
Dhaka,Dhaka,Savar,1344
Dhaka,Dhaka,Savar,1343
Dhaka,Dhaka,Savar,1345
Dhaka,Dhaka,Sutrapur,1100
Dhaka,Dhaka,Sutrapur,1204
Dhaka,Dhaka,Sutrapur,1203
Dhaka,Dhaka,Tejgaon,1215
Dhaka,Dhaka,Tejgaon Industrial Area,1208
Dhaka,Dhaka,Uttara,1230
Dhaka,Faridpur,Alfadanga,7870
Dhaka,Faridpur,Bhanga,7830
Dhaka,Faridpur,Boalmari,7860
Dhaka,Faridpur,Boalmari,7861
Dhaka,Faridpur,Charbhadrasan,7810
Dhaka,Faridpur,Faridpur Sadar,7802
Dhaka,Faridpur,Faridpur Sadar,7803
Dhaka,Faridpur,Faridpur Sadar,7800
Dhaka,Faridpur,Faridpur Sadar,7801
Dhaka,Faridpur,Madukhali,7851
Dhaka,Faridpur,Madukhali,7850
Dhaka,Faridpur,Nagarkanda,7840
Dhaka,Faridpur,Nagarkanda,7841
Dhaka,Faridpur,Sadarpur,7822
Dhaka,Faridpur,Sadarpur,7821
Dhaka,Faridpur,Sadarpur,7820
Dhaka,Faridpur,Shriangan,7804
Dhaka,Gazipur,Gazipur Sadar,1703
Dhaka,Gazipur,Gazipur Sadar,1701
Dhaka,Gazipur,Gazipur Sadar,1702
Dhaka,Gazipur,Gazipur Sadar,1700
Dhaka,Gazipur,Gazipur Sadar,1704
Dhaka,Gazipur,Kaliakaar,1750
Dhaka,Gazipur,Kaliakaar,1751
Dhaka,Gazipur,Kaliganj,1720
Dhaka,Gazipur,Kaliganj,1721
Dhaka,Gazipur,Kaliganj,1722
Dhaka,Gazipur,Kaliganj,1723
Dhaka,Gazipur,Kapashia,1730
Dhaka,Gazipur,Monnunagar,1712
Dhaka,Gazipur,Monnunagar,1710
Dhaka,Gazipur,Monnunagar,1711
Dhaka,Gazipur,Sreepur,1743
Dhaka,Gazipur,Sreepur,1747
Dhaka,Gazipur,Sreepur,1748
Dhaka,Gazipur,Sreepur,1745
Dhaka,Gazipur,Sreepur,1744
Dhaka,Gazipur,Sreepur,1740
Dhaka,Gazipur,Sripur,1740
Dhaka,Gazipur,Sripur,1740
Dhaka,Gazipur,Sripur,1741
Dhaka,Gazipur,Sripur,1742
Dhaka,Gopalganj,Gopalganj Sadar,8102
Dhaka,Gopalganj,Gopalganj Sadar,8013
