Name,Asset Type Name,Code,Journal,Asset Account,Asset Awaiting Allocation,Depreciation Exp. A/C,Accumulated Depreciation A/C,Asset Loss A/C,Asset Gain A/C,Asset Awaiting Disposal,Asset Life (In Year),Computation Method,Degressive Factor,is_custom_depr,Active,Pending,State
Land,Land,1101,Vendor Bill,25101001,,,,,,,0,No Depreciation, -   ,True,TRUE,FALSE,approve
Land & Building,Building,1201,Vendor Bill,25101002,26806001,42401001,15401001,42326001,34110001,26812001,0,Reducing Balance,0.025,True,TRUE,FALSE,approve
Building,Building,1202,Vendor Bill,25101002,26806001,42401001,15401001,42326001,34110001,26812001,0,Reducing Balance,0.025,True,TRUE,FALSE,approve
Chair,Furniture,2101,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Table,Furniture,2102,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Drawer Unit,Furniture,2103,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Steel Cabinat,Furniture,2104,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Steel Almira,Furniture,2105,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Sofa,Furniture,2106,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Door,Furniture,2107,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Locker,Furniture,2108,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Vault,Furniture,2109,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Steel Rack,Furniture,2110,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Coat Stand,Furniture,2111,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
KIOSK Furniture,Furniture,2112,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Others,Furniture,2199,Vendor Bill,25102002,26806001,42402002,15402002,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Interior Decoration,Fixture,2201,Vendor Bill,25102001,26806001,42402001,15402001,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Interior Decoration (ATM),Fixture,2202,Vendor Bill,25102001,26806001,42402001,15402001,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
Interior Decoration (KIOSK),Fixture,2203,Vendor Bill,25102001,26806001,42402001,15402001,42326001,34110001,26812001,0,Reducing Balance,0.1,True,TRUE,FALSE,approve
AirConditioner,Electric Equipment,3101,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Photo Copaier,Electric Equipment,3102,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
IPS,Electric Equipment,3103,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Fax Machine,Electric Equipment,3104,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Generator,Electric Equipment,3105,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Projector,Electric Equipment,3106,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Fan,Electric Equipment,3107,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Micro oven,Electric Equipment,3108,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Fridge,Electric Equipment,3109,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Water Pump,Electric Equipment,3110,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Television,Electric Equipment,3111,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Stabilazer,Electric Equipment,3112,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
ATM AirConditioner,Electric Equipment,3113,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
KIOSK AirConditioner,Electric Equipment,3114,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Others,Electric Equipment,3199,Vendor Bill,25103001,26806001,42403001,15403001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
UPS,Other Office Equipment,3201,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Printer,Other Office Equipment,3202,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Scaner,Other Office Equipment,3203,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Networking,Other Office Equipment,3204,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Telephone,Other Office Equipment,3205,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Router,Other Office Equipment,3206,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Mobile Phone Set,Other Office Equipment,3207,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Straight Line/Linear,0.5,True,TRUE,FALSE,approve
Note Binding Machine,Other Office Equipment,3208,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Note Counting Machine,Other Office Equipment,3209,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Note Sorting Machine,Other Office Equipment,3210,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Fake Note or Cheque Detector,Other Office Equipment,3211,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
CCTV System,Other Office Equipment,3212,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Sound System,Other Office Equipment,3213,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
ATM Machine,Other Office Equipment,3214,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
KIOSK ATM Machine,Other Office Equipment,3215,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Cash Deposit Machine,Other Office Equipment,3216,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
ATM UPS,Other Office Equipment,3217,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
ATM Office Equipment,Other Office Equipment,3218,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
ATM Networking,Other Office Equipment,3219,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
ATM Router,Other Office Equipment,3220,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
POS Machine,Other Office Equipment,3221,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Others,Other Office Equipment,3299,Vendor Bill,25103002,26806001,42403002,15403002,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Server,Computers & Peripherals,4101,Vendor Bill,25104001,26806001,42404001,15404001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Computer CPU,Computers & Peripherals,4102,Vendor Bill,25104001,26806001,42404001,15404001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Computer Monitor,Computers & Peripherals,4103,Vendor Bill,25104001,26806001,42404001,15404001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Laptop,Computers & Peripherals,4104,Vendor Bill,25104001,26806001,42404001,15404001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Motor Car,Motor Car,5101,Vendor Bill,25105001,26806001,42405001,15405001,42326001,34110001,26812001,5,Straight Line/Linear,0.2,True,TRUE,FALSE,approve
Motor Cycle,Motor Cycle,5102,Vendor Bill,25105002,26806001,42405002,15405002,42326001,34110001,26812001,5,Straight Line/Linear,0.2,True,TRUE,FALSE,approve
Software,Software,6101,Vendor Bill,25201001,26806001,42406001,15406001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
Others,Software,6102,Vendor Bill,25201001,26806001,42406001,15406001,42326001,34110001,26812001,0,Reducing Balance,0.2,True,TRUE,FALSE,approve
