asset_seq,Asset Name,Asset Type,Asset Category,Batch No,Vendor,Invoice,Bill Date,Purchase Date,Usage Date,Cost Centre,Purchase Branch,Current Branch,Sub Operating Unit,Currency,Cost Value,Depreciation Base Value,WDV,Salvage Value,Accumulated Depreciation,depreciation_line_ids/sequence,depreciation_line_ids/name,depreciation_line_ids/Date,depreciation_line_ids/Days,depreciation_line_ids/Depreciation,depreciation_line_ids/Cumulative Depreciation,depreciation_line_ids/WDV at Date,Adjusted Amount,Warranty Date,Model,asset_description,note,method,method_progress_factor,method_time,depreciation_year,method_period,state
2019-09-MTB-21-2002-0002,MTB TOWER CONSTRUCTION,Building,Building,Initial,MIR AKHTER HOSSAIN LTD AND OTHER,,,23/4/2015,23/4/2015,601,001,001,001,BDT,458135099,458135099,411209353,,46925746,1,Opening Depreciation,30/09/2019,100,46925746,46925746,411209353,,23/4/2015,No Model,<p>Asset Description are given in here</p>,<p>Asset Notes are given in here</p>,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0003,MTB TOWER CONSTRUCTION CONSULT,Building,Land and Building,Initial,DEXTEROUS,,,23/4/2015,23/4/2015,601,001,001,001,BDT,2278866,2278866,2081378,,197488,1,Opening Depreciation,30/09/2019,100,197488,197488,2081378,,23/4/2015,No Model,<p>Asset Description</p>,<p>Asset Note<br></p>,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0004,15/A DHANM 1/12/03PURCH,Building,Land and Building,Initial,DHANMONDI BR,,,01/12/2012,1/12/2012,601,001,001,001,BDT,11393980,11393980,7555842,,3838138,1,Opening Depreciation,30/09/2019,100,3838138,3838138,7555842,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0005,OFF SPACE DH BR 20/10/08PUR,Building,Land and Building,Initial,DHANMONDI BR,,,1/12/2012,1/12/2012,601,001,001,001,BDT,31050000,31050000,23581485,,7468515,1,Opening Depreciation,30/09/2019,100,7468515,7468515,23581485,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0006,VAT-REG DHAN14/07/07,Building,Land and Building,Initial,DHANMONDI BR,,,1/12/2012,1/12/2012,601,001,001,001,BDT,39000,39000,31013,,7987,1,Opening Depreciation,30/09/2019,100,7987,7987,31013,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0007,COL DEED MTB TOWER7/12/10,Building,Land and Building,Initial,DOC,,,1/12/2012,1/12/2012,601,001,001,001,BDT,60800,60800,48853,,11947,1,Opening Depreciation,30/09/2019,100,11947,11947,48853,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0008,MTB CENTRE 5TH FLR29/12/11,Building,Land and Building,Initial,NIKAN ALL,,,29/12/2011,29/12/2011,601,001,001,001,BDT,429623700,429623700,354674132,,74949568,1,Opening Depreciation,30/09/2019,100,74949568,74949568,354674132,,12/1/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0009,"MUTATION, DHAN8/5/12",Building,Land and Building,Initial,DHAN,,,01/12/2012,1/12/2012,601,001,001,001,BDT,176000,176000,146525,,29475,1,Opening Depreciation,30/09/2019,100,29475,29475,146525,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0010,TRN FEE 5TH FLR MTB CENTRE,Building,Land and Building,Initial,AD MAMUN,,,1/12/2012,1/12/2012,601,001,001,001,BDT,374750,374750,313955,,60795,1,Opening Depreciation,30/09/2019,100,60795,60795,313955,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
2019-09-MTB-21-2002-0011,P PATH REG 20/09/12,Building,Land and Building,Initial,AD MAMUNUR,,,1/12/2012,1/12/2012,601,001,001,001,BDT,7585600,7585600,6370738,,1214862,1,Opening Depreciation,30/09/2019,100,1214862,1214862,6370738,,1/12/2012,No Model,,,Reducing Method,0.025,Number of Depreciations,1,1,open
