,Name,Parent,sequence,sign,type,style_overwrite
,Statement of Affairs,,0,Preserve balance sign,View,
0,Assets,Statement of Affairs,0,Preserve balance sign,Account Type,
21,Cash & Bank Balance,Assets,0,Preserve balance sign,View,
211,Cash,Cash & Bank Balance,0,Preserve balance sign,View,
21101,Cash in Hand <BDT>,Cash,0,Preserve balance sign,Accounts,
21101001,Cash with Vault (including Cash with Tellers),Cash in Hand <BDT>,0,Preserve balance sign,Accounts,
21101002,Cash in Transit,Cash in Hand <BDT>,1,Preserve balance sign,Accounts,
21101003,Cash with ATM,Cash in Hand <BDT>,0,Preserve balance sign,View,
21101004,Cash in Kiosk ATM,Cash in Hand <BDT>,3,Preserve balance sign,Accounts,
21101005,Cash with Service Provider,Cash in Hand <BDT>,4,Preserve balance sign,Accounts,
21102,Cash in Hand <FC>,Cash,1,Preserve balance sign,View,
21102001,Cash with Vault <USD>,Cash in Hand <FC>,0,Preserve balance sign,Accounts,
21102002,Cash with Vault <GBP>,Cash in Hand <FC>,1,Preserve balance sign,Accounts,
21102003,Cash with Vault <JPY>,Cash in Hand <FC>,2,Preserve balance sign,Accounts,
21102004,Cash with Vault <EUR>,Cash in Hand <FC>,3,Preserve balance sign,Accounts,
21102011,Cash in Transit <USD>,Cash in Hand <FC>,4,Preserve balance sign,Accounts,
21102012,Cash in Transit <GBP>,Cash in Hand <FC>,5,Preserve balance sign,Accounts,
21102013,Cash in Transit <JPY>,Cash in Hand <FC>,6,Preserve balance sign,Accounts,
21102014,Cash in Transit <EUR>,Cash in Hand <FC>,7,Preserve balance sign,Accounts,
212,Balance with Bangladesh Bank,Cash & Bank Balance,1,Preserve balance sign,View,
21201,Balance with BB <LCY>,Balance with Bangladesh Bank,0,Preserve balance sign,Accounts,
21201001,Balance with Bangladesh Bank,Balance with BB <LCY>,1,Preserve balance sign,View,
21201002,Bangladesh Bank- RTGS Settlement A/c,Balance with BB <LCY>,1,Preserve balance sign,Accounts,
21202,Balance with BB <FCY>,Balance with Bangladesh Bank,0,Preserve balance sign,View,
21202001,Bangladesh Bank FC Clearing A/c (EUR),Balance with BB <FCY>,0,Preserve balance sign,Accounts,
21202002,Bangladesh Bank FC Clearing A/c (USD),Balance with BB <FCY>,1,Preserve balance sign,Accounts,
21202003,Bangladesh Bank FC Clearing A/c CNY,Balance with BB <FCY>,2,Preserve balance sign,Accounts,
21202004,Bangladesh Bank FC Clearing A/c (GBP),Balance with BB <FCY>,3,Preserve balance sign,Accounts,
21202005,Bangladesh Bank FC Clearing A/c (JPY),Balance with BB <FCY>,4,Preserve balance sign,Accounts,
21202041,Bangladesh Bank RTGS Settlement A/c (USD),Balance with BB <FCY>,5,Preserve balance sign,Accounts,
21202042,Bangladesh Bank RTGS Settlement A/c (GBP),Balance with BB <FCY>,6,Preserve balance sign,Accounts,
21202043,Bangladesh Bank RTGS Settlement A/c (EUR),Balance with BB <FCY>,7,Preserve balance sign,Accounts,
21202921,Bangladesh Bank FC Clearing A/c (DAD-USD),Balance with BB <FCY>,8,Preserve balance sign,Accounts,
21202922,Bangladesh Bank FC Clearing A/c (DAD-EUR),Balance with BB <FCY>,9,Preserve balance sign,Accounts,
21202923,Bangladesh Bank FC Clearing A/c (DAD-GBP),Balance with BB <FCY>,10,Preserve balance sign,View,
213,Balance with Agent Bank,Cash & Bank Balance,2,Preserve balance sign,View,
21301,Balance with Agent Bank <BDT>,Cash & Bank Balance,0,Preserve balance sign,Accounts,
21301001,Balance with Sonali Bank,Balance with Agent Bank,0,Preserve balance sign,Accounts,
214,Balance with other banks and Fis,Cash & Bank Balance,3,Preserve balance sign,View,
21401,Other Banks & FIs in Bangladesh,Balance with other banks and Fis,0,Preserve balance sign,Accounts,
