Code,Name,Product,Active,Pending,Status
101,Office,Land,True,False,approve
101,Office,Building,True,False,approve
101,Office,Fixture <Interior Work Office premises>,True,False,approve
201,ATM,Fixture <Interior Work ATM>,True,False,approve
301,Kiosk,Fixture <Interior Work at Kiosk>,True,False,approve
101,Office,Furniture <Office Premises>,True,False,approve
301,Kiosk,Furniture <Kiosk>,True,False,approve
101,Office,Electrical Equipments <Office Premises>,True,False,approve
201,ATM,Electrical Equipments <ATM>,True,False,approve
101,Office,Other Office Equipments (except Computers) at office premises,True,False,approve
201,ATM,Other Office Equipments <at ATM premises>,True,False,approve
301,Kiosk,Other Office Equipments <at Kiosk premises>,True,False,approve
601,POS,Other Office Equipments (POS machine),True,False,approve
101,Office,Computers & Peripherals <Office Premises>,True,False,approve
001,General,Motor Cars,True,False,approve
001,General,Motor Cycles,True,False,approve
001,General,Software ,True,False,approve
001,General,Basic Salary,True,False,approve
001,General,Personal Pay  <Basic>,True,False,approve
001,General,Salary for Contractual Kiosk Staff <Basic Pay>,True,False,approve
001,General,House  Rent Allowance,True,False,approve
001,General,Conveyance Allowance,True,False,approve
001,General,Medical Allowance,True,False,approve
001,General,Entertainment  Allowance,True,False,approve
001,General,Washing Allowance,True,False,approve
001,General,Dearness Allowance,True,False,approve
001,General,Risk  Allowance,True,False,approve
001,General,Evening Banking Allowance,True,False,approve
001,General,Discomfort Allowance,True,False,approve
001,General,Technical Allowance,True,False,approve
001,General,House Maintenance Allowance,True,False,approve
001,General,Medical Reimbursement,True,False,approve
001,General,Uniform And Other Apparels,True,False,approve
001,General,Utility Charges,True,False,approve
001,General,Ordinary Bonus,True,False,approve
001,General,Incentive Bonus,True,False,approve
001,General,Gratuity,True,False,approve
001,General,Leave Fare Assistance,True,False,approve
001,General,Bank's Contribution to EPF,True,False,approve
001,General,DMD's Remuneration,True,False,approve
001,salary ,Misc Expenses for DST employees <Salary>,True,False,approve
002,Commission,Misc Expenses for DST employees Commission,True,False,approve
001,General,Leave Encashment,True,False,approve
101,Office,Rent for Office Premises,True,False,approve
201,ATM,Rent for ATM Premises,True,False,approve
301,Kiosk,Rent for Kiosk Premises,True,False,approve
401,Godown,Rent for Godown Premises,True,False,approve
501,Residential,Rent for Residential Premises,True,False,approve
101,Office,VAT on Rent <Office Premises>,True,False,approve
201,ATM,VAT on Rent <Expenses> ATM,True,False,approve
301,Kiosk,VAT on Rent <Expenses> Kiosk,True,False,approve
401,Godown,VAT on Rent <Expenses> Godown,True,False,approve
501,Residential Premises,VAT on Rent <Expenses> Residential Premises,True,False,approve
001,General,City Corp./Municipality Taxes,True,False,approve
001,General,Trade License Fees,True,False,approve
001,General,Excise Duty on Bank's own Deposits with other Banks,True,False,approve
001,General,MD/DMD's Income Tax,True,False,approve
001,General,VAT/Tax on Other Activities <Expenses>,True,False,approve
001,General,Insurance for Cash in Transit,True,False,approve
001,General,Insurance for Cash in Safe/Counter,True,False,approve
001,General,Group Insurance Premium-Life,True,False,approve
101,Office,Insurance for Bank's Property Office,True,False,approve
201,ATM,Insurance for Bank's Property at ATM,True,False,approve
202,ATM,Insurance for Cash at ATM,True,False,approve
301,Kiosk,Insurance for Bank's Property at Kiosk,True,False,approve
401,Godown,Insurance for Bank's Property at Godown,True,False,approve
001,General,Deposit Insurance Premium,True,False,approve
001,General,Insurance Premium on Locker Services,True,False,approve
001,General,Insurance Premium on Motor Vehicles Executives,True,False,approve
001,General,Insurance Premium on Motor Vehicles Pool,True,False,approve
101,Office,Electicity Charges <Office Premises>,True,False,approve
201,ATM,Electicity Charges ATM,True,False,approve
301,Kiosk,Electicity Charges Kiosk,True,False,approve
501,Residence,Electicity Charges <Residence>,True,False,approve
101,Office,Fuel for Generator,True,False,approve
101,Offcie,WASA Bill (Office),True,False,approve
