Name,Can be Purchased,Product Type,Internal Category,Expense Account,TDS Rule,VAT,Active,Pending,Status
Land,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Building,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Fixture <Interior Work Office premises>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Fixture <Interior Work ATM>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Fixture <Interior Work at Kiosk>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Furniture <Office Premises>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Furniture <Kiosk>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Electrical Equipments <Office Premises>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Electrical Equipments <ATM>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Other Office Equipments (except Computers) at office premises,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Other Office Equipments <at ATM premises>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Other Office Equipments <at Kiosk premises>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Other Office Equipments (POS machine),TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Computers & Peripherals <Office Premises>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Motor Cars,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Motor Cycles,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Software ,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Basic Salary,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Personal Pay  <Basic>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Salary for Contractual Kiosk Staff <Basic Pay>,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
House  Rent Allowance,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Conveyance Allowance,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Medical Allowance,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
Entertainment  Allowance,TRUE,Service,All,Preliminary Expenses,,,True,False,approve
