id,code,name,Active,Pending,Status
base.BDT,BDT,BDT,TRUE,FALSE,approve
base.AED,AED,AED,TRUE,FALSE,approve
base.AFN,AFN,AFN,FALSE,FALSE,approve
base.ALL,ALL,ALL,FALSE,FALSE,approve
base.AMD,AMD,AMD,FALSE,FALSE,approve
base.ANG,ANG,ANG,FALSE,FALSE,approve
base.AOA,AOA,AOA,FALSE,FALSE,approve
base.ARS,ARS,ARS,FALSE,FALSE,approve
base.AUD,AUD,AUD,FALSE,FALSE,approve
base.AWG,AWG,AWG,FALSE,FALSE,approve
base.AZN,AZN,AZN,FALSE,FALSE,approve
base.BAM,BAM,BAM,FALSE,FALSE,approve
base.BBD,BBD,BBD,FALSE,FALSE,approve
base.BGN,BGN,BGN,FALSE,FALSE,approve
base.BHD,BHD,BHD,FALSE,FALSE,approve
base.BIF,BIF,BIF,FALSE,FALSE,approve
base.BMD,BMD,BMD,FALSE,FALSE,approve
base.BND,BND,BND,FALSE,FALSE,approve
base.BOB,BOB,BOB,FALSE,FALSE,approve
base.BRL,BRL,BRL,FALSE,FALSE,approve
base.BSD,BSD,BSD,FALSE,FALSE,approve
base.BTN,BTN,BTN,FALSE,FALSE,approve
base.BWP,BWP,BWP,FALSE,FALSE,approve
base.BYN,BYN,BYN,FALSE,FALSE,approve
base.BYR,BYR,BYR,FALSE,FALSE,approve
base.BZD,BZD,BZD,FALSE,FALSE,approve
base.CAD,CAD,CAD,FALSE,FALSE,approve
base.CDF,CDF,CDF,FALSE,FALSE,approve
base.CHF,CHF,CHF,TRUE,FALSE,approve
base.CLP,CLP,CLP,FALSE,FALSE,approve
base.CNY,CNY,CNY,FALSE,FALSE,approve
base.COP,COP,COP,FALSE,FALSE,approve
base.CRC,CRC,CRC,FALSE,FALSE,approve
base.CUP,CUP,CUP,FALSE,FALSE,approve
base.CVE,CVE,CVE,FALSE,FALSE,approve
base.CYP,CYP,CYP,FALSE,FALSE,approve
base.CZK,CZK,CZK,FALSE,FALSE,approve
base.DJF,DJF,DJF,FALSE,FALSE,approve
base.DKK,DKK,DKK,FALSE,FALSE,approve
base.DOP,DOP,DOP,FALSE,FALSE,approve
base.DZD,DZD,DZD,FALSE,FALSE,approve
base.ECS,ECS,ECS,FALSE,FALSE,approve
base.EGP,EGP,EGP,FALSE,FALSE,approve
base.ERN,ERN,ERN,FALSE,FALSE,approve
base.ETB,ETB,ETB,FALSE,FALSE,approve
base.EUR,EUR,EUR,TRUE,FALSE,approve
base.FJD,FJD,FJD,FALSE,FALSE,approve
base.FKP,FKP,FKP,FALSE,FALSE,approve
base.GBP,GBP,GBP,TRUE,FALSE,approve
base.GEL,GEL,GEL,FALSE,FALSE,approve
base.GHS,GHS,GHS,FALSE,FALSE,approve
base.GIP,GIP,GIP,FALSE,FALSE,approve
base.GMD,GMD,GMD,FALSE,FALSE,approve
base.GNF,GNF,GNF,FALSE,FALSE,approve
base.GTQ,GTQ,GTQ,FALSE,FALSE,approve
base.GYD,GYD,GYD,FALSE,FALSE,approve
base.HKD,HKD,HKD,FALSE,FALSE,approve
base.HNL,HNL,HNL,FALSE,FALSE,approve
base.HRK,HRK,HRK,FALSE,FALSE,approve
base.HTG,HTG,HTG,FALSE,FALSE,approve
base.HUF,HUF,HUF,FALSE,FALSE,approve
base.IDR,IDR,IDR,FALSE,FALSE,approve
base.ILS,ILS,ILS,FALSE,FALSE,approve
base.INR,INR,INR,FALSE,FALSE,approve
base.IQD,IQD,IQD,FALSE,FALSE,approve
base.IRR,IRR,IRR,FALSE,FALSE,approve
base.ISK,ISK,ISK,FALSE,FALSE,approve
base.ITL,ITL,ITL,FALSE,FALSE,approve
base.JMD,JMD,JMD,FALSE,FALSE,approve
base.JOD,JOD,JOD,FALSE,FALSE,approve
base.JPY,JPY,JPY,TRUE,FALSE,approve
base.KES,KES,KES,FALSE,FALSE,approve
base.KGS,KGS,KGS,FALSE,FALSE,approve
base.KHR,KHR,KHR,FALSE,FALSE,approve
base.KMF,KMF,KMF,FALSE,FALSE,approve
base.KPW,KPW,KPW,FALSE,FALSE,approve
base.KRW,KRW,KRW,FALSE,FALSE,approve
base.KWD,KWD,KWD,FALSE,FALSE,approve
base.KYD,KYD,KYD,FALSE,FALSE,approve
base.KZT,KZT,KZT,FALSE,FALSE,approve
base.LAK,LAK,LAK,FALSE,FALSE,approve
base.LBP,LBP,LBP,FALSE,FALSE,approve
base.LKR,LKR,LKR,FALSE,FALSE,approve
base.LRD,LRD,LRD,FALSE,FALSE,approve
base.LSL,LSL,LSL,FALSE,FALSE,approve
base.LTL,LTL,LTL,FALSE,FALSE,approve
base.LVL,LVL,LVL,FALSE,FALSE,approve
base.LYD,LYD,LYD,FALSE,FALSE,approve
base.MAD,MAD,MAD,FALSE,FALSE,approve
base.MDL,MDL,MDL,FALSE,FALSE,approve
base.MGA,MGA,MGA,FALSE,FALSE,approve
base.MKD,MKD,MKD,FALSE,FALSE,approve
base.MMK,MMK,MMK,FALSE,FALSE,approve
base.MNT,MNT,MNT,FALSE,FALSE,approve
base.MOP,MOP,MOP,FALSE,FALSE,approve
base.MRO,MRO,MRO,FALSE,FALSE,approve
base.MUR,MUR,MUR,FALSE,FALSE,approve
base.MVR,MVR,MVR,FALSE,FALSE,approve
base.MWK,MWK,MWK,FALSE,FALSE,approve
base.MXN,MXN,MXN,FALSE,FALSE,approve
base.MYR,MYR,MYR,FALSE,FALSE,approve
base.MZN,MZN,MZN,FALSE,FALSE,approve
base.NAD,NAD,NAD,FALSE,FALSE,approve
base.NGN,NGN,NGN,FALSE,FALSE,approve
base.NIO,NIO,NIO,FALSE,FALSE,approve
base.NOK,NOK,NOK,FALSE,FALSE,approve
base.NPR,NPR,NPR,FALSE,FALSE,approve
base.NZD,NZD,NZD,FALSE,FALSE,approve
base.OMR,OMR,OMR,FALSE,FALSE,approve
base.PAB,PAB,PAB,FALSE,FALSE,approve
base.PEN,PEN,PEN,FALSE,FALSE,approve
base.PGK,PGK,PGK,FALSE,FALSE,approve
base.PHP,PHP,PHP,FALSE,FALSE,approve
base.PKR,PKR,PKR,FALSE,FALSE,approve
base.PLN,PLN,PLN,FALSE,FALSE,approve
base.PLZ,PLZ,PLZ,FALSE,FALSE,approve
base.PYG,PYG,PYG,FALSE,FALSE,approve
base.QAR,QAR,QAR,FALSE,FALSE,approve
base.QTQ,QTQ,QTQ,FALSE,FALSE,approve
base.RON,RON,RON,FALSE,FALSE,approve
base.RSD,RSD,RSD,FALSE,FALSE,approve
base.RUB,RUB,RUB,FALSE,FALSE,approve
base.RUR,RUR,RUR,FALSE,FALSE,approve
base.RWF,RWF,RWF,FALSE,FALSE,approve
base.SAR,SAR,SAR,TRUE,FALSE,approve
base.SBD,SBD,SBD,FALSE,FALSE,approve
base.SCR,SCR,SCR,FALSE,FALSE,approve
base.SDD,SDD,SDD,FALSE,FALSE,approve
base.SDG,SDG,SDG,FALSE,FALSE,approve
base.SEK,SEK,SEK,FALSE,FALSE,approve
base.SGD,SGD,SGD,TRUE,FALSE,approve
base.SHP,SHP,SHP,FALSE,FALSE,approve
base.SKK,SKK,SKK,FALSE,FALSE,approve
base.SLL,SLL,SLL,FALSE,FALSE,approve
base.SOD,SOD,SOD,FALSE,FALSE,approve
base.SRG,SRG,SRG,FALSE,FALSE,approve
base.SSP,SSP,SSP,FALSE,FALSE,approve
base.STD,STD,STD,FALSE,FALSE,approve
base.SVC,SVC,SVC,FALSE,FALSE,approve
base.SYP,SYP,SYP,FALSE,FALSE,approve
base.SZL,SZL,SZL,FALSE,FALSE,approve
base.THB,THB,THB,FALSE,FALSE,approve
base.TJS,TJS,TJS,FALSE,FALSE,approve
base.TMM,TMM,TMM,FALSE,FALSE,approve
base.TND,TND,TND,FALSE,FALSE,approve
base.TOP,TOP,TOP,FALSE,FALSE,approve
base.TRY,TRY,TRY,FALSE,FALSE,approve
base.TTD,TTD,TTD,FALSE,FALSE,approve
base.TWD,TWD,TWD,FALSE,FALSE,approve
base.TZS,TZS,TZS,FALSE,FALSE,approve
base.UAG,UAG,UAG,FALSE,FALSE,approve
base.UAH,UAH,UAH,FALSE,FALSE,approve
base.UGX,UGX,UGX,FALSE,FALSE,approve
base.USD,USD,USD,TRUE,FALSE,approve
base.UYU,UYU,UYU,FALSE,FALSE,approve
base.UZS,UZS,UZS,FALSE,FALSE,approve
base.VEF,VEF,VEF,FALSE,FALSE,approve
base.VND,VND,VND,FALSE,FALSE,approve
base.VUB,VUB,VUB,FALSE,FALSE,approve
base.VUV,VUV,VUV,FALSE,FALSE,approve
base.WST,WST,WST,FALSE,FALSE,approve
base.XAF,XAF,XAF,FALSE,FALSE,approve
base.XCD,XCD,XCD,FALSE,FALSE,approve
base.XOF,XOF,XOF,FALSE,FALSE,approve
base.XPF,XPF,XPF,FALSE,FALSE,approve
base.YER,YER,YER,FALSE,FALSE,approve
base.YUM,YUM,YUM,FALSE,FALSE,approve
base.ZAR,ZAR,ZAR,FALSE,FALSE,approve
base.ZMK,ZMK,ZMK,FALSE,FALSE,approve
base.ZRZ,ZRZ,ZRZ,FALSE,FALSE,approve
base.ZWD,ZWD,ZWD,FALSE,FALSE,approve
