name,Active,Pending,State
LOS Technology Limited,TRUE,FALSE,approve
International computer center,TRUE,FALSE,approve
Smart Technologies(BD)Ltd.,TRUE,FALSE,approve
Global Brand Private Limited,TRUE,FALSE,approve
Germany Computer & Telecom Ltd.,TRUE,FALSE,approve
GS TECHNOLOGY,TRUE,FALSE,approve
MetroNet Bangladesh Limited,TRUE,FALSE,approve
EXPRESS SYSTEMS LIMITED,TRUE,FALSE,approve
Software Shop Limited,TRUE,FALSE,approve
Alap Communication Limited,TRUE,FALSE,approve
RmR Studio 14,TRUE,FALSE,approve
Giga Power Corporation,TRUE,FALSE,approve
National Systems Solutions Pvt. Ltd.,TRUE,FALSE,approve
Tech Republic Limited,TRUE,FALSE,approve
AR Enterprise,TRUE,FALSE,approve
Master Simex Paper Ltd.,TRUE,FALSE,approve
Edit Exterior & Interior,TRUE,FALSE,approve
ORIENT COMPUTERS,TRUE,FALSE,approve
Toggi Services Limited.,TRUE,FALSE,approve
Data edge Limited,TRUE,FALSE,approve
United Business Machiners,TRUE,FALSE,approve
Square InformatiX Ltd.,TRUE,FALSE,approve
TRAX Technologies Limited,TRUE,FALSE,approve
Assist,TRUE,FALSE,approve
Extreme Engineering Development Consultant,TRUE,FALSE,approve
LID POWER SOLUTIONS LIMITED,TRUE,FALSE,approve
An Expression,TRUE,FALSE,approve
Technomedia Limited,TRUE,FALSE,approve
Devnet Limited,TRUE,FALSE,approve
INFOSONIK SYSTEMS LIMITED,TRUE,FALSE,approve
BDCOM Online ltd,TRUE,FALSE,approve
Halim Engineering,TRUE,FALSE,approve
Aegis Services Limited,TRUE,FALSE,approve
VIGILENS,TRUE,FALSE,approve
Pakiza Technovation Limited,TRUE,FALSE,approve
NHQ Distributions Pvt Ltd,TRUE,FALSE,approve
Vista interiors limited,TRUE,FALSE,approve
Fateha Engineering & Refrigeration,TRUE,FALSE,approve
Top one,TRUE,FALSE,approve
Silkways Card and Printing Ltd,TRUE,FALSE,approve
Zara Zaman Technology Ltd.,TRUE,FALSE,approve
Rain Computers,TRUE,FALSE,approve
Fire Enterprise,TRUE,FALSE,approve
B-Trac Technologies Ltd,TRUE,FALSE,approve
Super Service,TRUE,FALSE,approve
MULTILINK International Co. Ltd,TRUE,FALSE,approve
Penta Global Ltd,TRUE,FALSE,approve
Excel Intelligent Solutions Ltd,TRUE,FALSE,approve
Growth Technology LTD,TRUE,FALSE,approve
LIFESTYLE,TRUE,FALSE,approve
Preview,TRUE,FALSE,approve
IRONCO,TRUE,FALSE,approve
TRUSTAIRA Ltd,TRUE,FALSE,approve
SHRIJON STAMVA,TRUE,FALSE,approve
ADN Technologies Limited,TRUE,FALSE,approve
Corporate Projukti Limited,TRUE,FALSE,approve
Aspire Tech Services and Solutions Limited,TRUE,FALSE,approve
BracNet Limited,TRUE,FALSE,approve
CDS System & Solution Ltd,TRUE,FALSE,approve
Absolute Limited,TRUE,FALSE,approve
Skynet Worldwide Express Limited,TRUE,FALSE,approve
Premium Connectivity Limited,TRUE,FALSE,approve
General Automation Ltd,TRUE,FALSE,approve
Prime net Limited,TRUE,FALSE,approve
Logic Tools,TRUE,FALSE,approve
Corporate Gift World,TRUE,FALSE,approve
Rightway Engineers and Architects Ltd,TRUE,FALSE,approve
PRONAYON,TRUE,FALSE,approve
OPTIMAL TECHNOLOGY (PVT.) LTD.,TRUE,FALSE,approve
Jahid Office Equipment,TRUE,FALSE,approve
MIR AKHTER HOSSAIN LTD AND OTHER,TRUE,FALSE,approve
DEXTEROUS,TRUE,FALSE,approve
DHANMONDI BR,TRUE,FALSE,approve
DOC,TRUE,FALSE,approve
NIKAN ALL,TRUE,FALSE,approve
DHAN,TRUE,FALSE,approve
AD MAMUN,TRUE,FALSE,approve
AD MAMUNUR,TRUE,FALSE,approve
ABESH HOSSAIN,TRUE,FALSE,approve
NIKAN ALLIANCE,TRUE,FALSE,approve
REG,TRUE,FALSE,approve
VISTA,TRUE,FALSE,approve
Assist,TRUE,FALSE,approve
ZEN BUILDERS,TRUE,FALSE,approve
PRONAYON,TRUE,FALSE,approve

