Parent Account,Code,Name,Type
Capital ,11101000,Paid up Capital ,View Type
Reserve ,11201000,General Reserve ,View Type
Reserve ,11202000,Statutory Reserve ,View Type
Reserve ,11203000,Revaluation Reserve,View Type
Reserve ,11204000,Share Premium ,View Type
Reserve ,11205000,Retained earnings,View Type
Reserve ,11206000,Foreign Currency Translational Gain/ Loss,View Type
Borrowings under Bangladesh Bank,12101000,Borrowings under Bangladesh Bank-others,View Type
Borrowings under Bangladesh Bank,12102000,Borrowings under BB Pre-finance,View Type
Borrowings under Bangladesh Bank,12103000,Borrowings under BB Refinance,View Type
Borrowings under Bangladesh Bank,12104000,Investment Promotion and Financing Facility (IPFF) FC,View Type
Borrowings under Bangladesh Bank,12105000,Long Term Financing Facility (LTFF),View Type
Interest Payable on Borrowings,12501000,Interest Payable on Borrowings fm BB,View Type
Borrowings under Bangladesh Bank,12106000,Borrowing under EDF from Bangladesh Bank,View Type
Borrowings from other Banks,12201000,Term Borrowing in FC,View Type
Borrowings from other Banks,12202000,Call Borrowing <BDT>,View Type
Borrowings from other Banks,12203000,Term Borrowing <BDT>,View Type
Borrowings from other Banks,12204000,REPO <Borrowings under>,View Type
Borrowings from other Banks,12205000,Call Borrowing in FC,View Type
Interest Payable on Borrowings,12502000,Interest Payable on Borrowings from other Banks,View Type
Borrowings from other Institutions,12301000,Other Institutes,View Type
Borrowings from other Institutions,12302000,Pre-finance (Other Institute),View Type
Borrowings from other Institutions,12303000,Borrowings from NBFI,View Type
Interest Payable on Borrowings,12503000,Interest Payable on Borrowings fm other Institution,View Type
OBU Borrowings,12401000,OBU Borrowings from foreign country <FC>,View Type
OBU Borrowings,12402000,OBU Borrowings from Bangladesh <FC>,View Type
Customer Deposits -Current & Others,13101000,Current Accounts <BDT>,View Type
Customer Deposits -Current & Others,13102000,Current Accounts <FC>,View Type
Customer Deposits -Current & Others,13103000,MiSc Customer Deposit,View Type
Customer Deposits -Current & Others,13104000,Sundry Deposits <FC>,View Type
Customer Deposits -Current & Others,13105000,Sundry Deposits,View Type
"Customer Deposits -SB, FD, RD, SND etc.",13201000,Term Deposits,View Type
"Customer Deposits -SB, FD, RD, SND etc.",13202000,Term Deposits Reinvestments,View Type
"Customer Deposits -SB, FD, RD, SND etc.",13203000,Recurring Deposit,View Type
"Customer Deposits -SB, FD, RD, SND etc.",13204000,Term Deposits FC,View Type
"Customer Deposits -SB, FD, RD, SND etc.",13205000,Special Notice Deposit,View Type
"Customer Deposits -SB, FD, RD, SND etc.",13206000,Savings Bank Account,View Type
"Customer Deposits -SB, FD, RD, SND etc.",13207000,Savings Bank Account <FC>,View Type
