Code,Name,Branch Type,active
0002,Principal Branch,Urban,True
0003,Panthapath Branch,Urban,True
0004,Babu Bazar Branch,Urban,True
0005,Agrabad Branch,Urban,True
0006,Sonargaon Branch,Rural,True
0007,Uttara Model Town Branch,Urban,True
0008,Progati Sarani Branch,Urban,True
0009,CDA Avenue Branch,Urban,True
0010,Sreenagar Branch,Rural,True
0011,Pallabi Branch,Urban,True
0012,Dilkusha Branch,Urban,True
0013,Khatungonj Branch,Urban,True
0014,Dhanmondi Branch,Urban,True
0015,Aman Bazar Branch,Rural,True
0016,Bashundhara City Branch,Urban,True
0017,Chandra Branch,Urban,True
0018,Jubilee Road Branch,Urban,True
0019,Nazirhat Branch,Rural,True
0020,Chokoria Branch,Urban,True
0021,Pabna Branch,Urban,True
0022,Gulshan Branch,Urban,True
0023,Sylhet Branch,Urban,True
0024,Moulvi Bazar Branch,Urban,True
0025,Savar Branch,Urban,True
0026,Fulbaria Branch,Urban,True
0027,Madaripur Branch,Urban,True
0028,Dholaikhal Branch,Urban,True
0029,Raipur Branch,Urban,True
0030,Aganagar Branch,Rural,True
0031,Joypurhat Branch,Urban,True
0032,Narayanganj Branch,Urban,True
0033,Rangpur Branch,Urban,True
0034,Banani Branch,Urban,True
0035,Kushtia Branch,Urban,True
0036,Gournadi Branch,Urban,True
0037,Tongi Branch,Urban,True
0038,Elephant Road Branch,Urban,True
0039,Feni Branch,Urban,True
0040,Dania Branch,Urban,True
0041,Bogura Branch,Urban,True
0042,Dhorkora Bazar Branch,Rural,True
0043,Mohammadpur Branch,Urban,True
0044,Rajshahi Branch,Urban,True
0045,Alankar Mor Branch,Urban,True
0046,MTB Centre Corporate Branch,Urban,True
0047,Cox's Bazar Branch,Urban,True
0048,Chawk Moghaltuli Branch,Urban,True
0049,Jashore Branch,Urban,True
0050,Gazipur Branch,Urban,True
0051,Baridhara Branch,Urban,True
0052,Cumilla Branch,Urban,True
0053,Oxygen Mor Branch,Urban,True
0054,Mymensingh Branch,Urban,True
0055,Habiganj Branch,Urban,True
0056,Kerani Hat Branch,Rural,True
0057,Tejgaon Branch,Urban,True
0058,Thakurgaon Branch,Urban,True
0059,Shahparan Gate Branch,Rural,True
0060,Karnaphuli EPZ Branch,Urban,True
0061,Bashundhara Branch,Urban,True
0062,Shah Mokhdum Avenue Branch,Urban,True
0063,Brahmanbaria Branch,Urban,True
0064,Kapasia Branch,Rural,True
0065,Meghna Branch,Rural,True
0066,Khilpara Branch,Rural,True
0067,Kamrangir Char Branch,Urban,True
0068,Kakrail Branch,Urban,True
0069,Narayanganj BSCIC Branch,Rural,True
0070,Naogaon Branch,Urban,True
0071,Gobindaganj Branch,Urban,True
0072,Dinajpur Branch,Urban,True
0073,Chattogram Medical College Branch,Urban,True
0074,Mirpur Branch,Urban,True
0075,Kadair Bazar Branch,Rural,True
0076,Jamirdia Masterbari Branch,Rural,True
0077,Kalurghat Industrial Area Branch,Urban,True
0078,Ashulia Branch,Rural,True
0079,Monipur Bazar Branch,Rural,True
0080,Tangail Branch,Urban,True
0081,Sirajganj Branch,Urban,True
0082,Dumni Branch,Urban,True
0083,Baraipara Branch,Rural,True
0084,Khulna Branch,Urban,True
0085,Abu Torab Bazar Branch,Rural,True
0086,Muradpur Branch,Urban,True
0087,MTB Tower Branch,Urban,True
0088,Bormi Branch,Rural,True
0089,Bagher Bazar Branch,Rural,True
0090,Barishal Branch,Urban,True
0091,Laldighirpar Branch,Urban,True
0092,Madhabdi Branch,Urban,True
0093,Goalmari Bazar Branch,Rural,True
0094,Malibagh Chowdhurypara Branch,Urban,True
0095,Faridpur Branch,Urban,True
0096,Ulipur Branch,Rural,True
0097,Hemayetpur Branch,Rural,True
0098,Sarkerhat Branch,Rural,True
0501,Haidergonj SME/ Agri Branch,Rural,True
0502,Dagon Bhuiyan SME/ Agri Branch,Urban,True
0503,Laksam SME/ Agri Branch,Urban,True
0504,Naria SME/ Agri Branch,Rural,True
0505,Kaliganj SME/ Agri Branch,Rural,True
0506,Ramchandrapur Bazar SME/ Agri Branch,Rural,True
0507,Gaffargaon SME/ Agri Branch,Urban,True
0508,Ishwardi SME/ Agri Branch,Urban,True
0509,Belkuchi SME/ Agri Branch,Urban,True
0510,Nazumeah Hat SME/ Agri Branch,Rural,True
0511,Dhanbari SME/ Agri Branch,Rural,True
0512,Hasnabad SME/ Agri Branch,Rural,True
0513,Syedpur SME/ Agri Branch,Rural,True
0514,Sarulia Bazar SME/ Agri Branch,Urban,True
0515,Mawna Branch,Rural,True
0516,Mirpur-2 Branch,Urban,True
0517,Rahattarpool Branch,Urban,True
