Parent Account,Code,Name,Type
Paid up Capital ,11101001,Paid up Capital ,General
General Reserve ,11201001,General Reserve ,General
Statutory Reserve ,11202001,Statutory Reserve ,General
Revaluation Reserve,11203001,Revaluation gain on HTM Securities,General
Revaluation Reserve,11203002,Revaluation gain on HFT Securities (T Bill),General
Revaluation Reserve,11203003,Revaluation gain on HFT Securities (T Bond),General
Share Premium ,11204001,Share Premium ,General
Retained earnings,11205001,Retained earnings ,General
Foreign Currency Translational Gain/ Loss,11206001,Foreign Currency Translational Gain/ Loss ,General
Borrowings under Bangladesh Bank-others,12101001,EGBMP Fund,General
Borrowings under Bangladesh Bank-others,12101002,Export Dev. Fund,General
Borrowings under Bangladesh Bank-others,12101003,Assured liquidity Support (ALS-Repo),General
Borrowings under Bangladesh Bank-others,12101004,Special Repo ,General
Borrowings under BB Pre-finance,12102001,JICA Fund SME,General
Borrowings under BB Refinance,12103001,"Solar Energy, Bio Gas EFT & HHK fund",General
Borrowings under BB Refinance,12103002,Taka 10 Account Holders,General
Borrowings under BB Refinance,12103003,Woman Enterpreneurs Fund (SME),General
Borrowings under BB Refinance,12103004,SME Loan Refinance,General
Borrowings under BB Refinance,12103005,Home Loan Refinance,General
Borrowings under BB Refinance,12103006,ADB Fund (SME),General
Borrowings under BB Refinance,12103007,ADB Fund (Brick Klin),General
Borrowings under BB Refinance,12103008,EGBMP Fund (SME),General
Borrowings under BB Refinance,12103009,JICA Fund (SME),General
Borrowings under BB Refinance,12103010,Agro-Processing Rural Industries Fund,General
Borrowings under BB Refinance,12103011,Bangladesh Bank Fund (Others),General
Borrowings under BB Refinance,12103012,Agro-Processing Rural Industries Fund Old,General
Investment Promotion and Financing Facility (IPFF) FC,12104001,Investment Promotion and Financing Fund (IPFF) USD,General
Long Term Financing Facility (LTFF),12105001,Long Term Financing Facility (LTFF) under FSSP,General
Interest Payable on Borrowings fm BB,12501007,Intt Payable on Boorrowing under EDF from BB,General
Term Borrowing in FC,12201001,Term Borrowing in FC <USD>,General
Term Borrowing in FC,12201002,Term Borrowing in FC <GBP>,General
REPO <Borrowings under>,12204001,Repo T Bill,General
REPO <Borrowings under>,12204002,Repo T Bond,General
Call Borrowing in FC,12205001,Call Borrowing in FC <USD>,General
Call Borrowing in FC,12205002,Call Borrowing in FC <GBP>,General
Interest Payable on Borrowings from other Banks,12502001,Interest Payable on Term Borrowing in FC <USD>,General
Interest Payable on Borrowings from other Banks,12502002,Interest Payable on Term Borrowings ,General
Interest Payable on Borrowings from other Banks,12502003,Interest Payable on Call Borrowing ,General
Interest Payable on Borrowings from other Banks,12502004,Interest Payable A/c- Repo ,General
Interest Payable on Borrowings from other Banks,12502005,Interest payable on Call Borrowing in FC <USD>,General
Interest Payable on Borrowings from other Banks,12502006,Interest payable on Call Borrowing in FC <GBP>,General
Interest Payable on Borrowings from other Banks,12502007,SME Foundation,General
Other Institutes,12301001,SME Foundation Fund (MTB Youth Line),General
Pre-finance (Other Institute),12302001,SME Foundation Fund (MTB Gunabati),General
Borrowings from NBFI,12303001,Interest Payable on Borrowings from SME Foundation,General
Interest Payable on Borrowings fm other Institution,12503001,Interest Payable on Borrowing from NBFI,General
Interest Payable on Borrowings fm other Institution,12503002,OBU Borrowings from Foreign Country FC-USD,General
OBU Borrowings from foreign country <FC>,12401001,OBU Borrowings from MTB <FC-USD>,General
OBU Borrowings from Bangladesh <FC>,12402001,OBU Brwings fm Banks/ Inst other than MTB USD,General
OBU Borrowings from Bangladesh <FC>,12402002,Interest Payable on Borrowings from LTFF  under FSSP,General
Interest Payable on Borrowings fm BB,12501001,Interest Payable on Borrowing -IPFF Fund USD,General
Interest Payable on Borrowings fm BB,12501002,Interest Payable on Borrowing -IPFF Fund GBP,General
Interest Payable on Borrowings fm BB,12501003,Interest Payable on Borrowings from BB-others,General
Interest Payable on Borrowings fm BB,12501004,Interest Payable on Borrowings from BB-under prefinance,General
Interest Payable on Borrowings fm BB,12501005,Interest Payable on Borrowings from BB-under Refinance,General
Interest Payable on Borrowings fm BB,12501006,Current Account Regular <CAREG>,General
Current Accounts <BDT>,13101001,MTB Probaho,General
Current Accounts <BDT>,13101002,Current CMS,General
Current Accounts <BDT>,13101003,NITA Account <CAFNT>,General
Current Accounts <BDT>,13101004,Non-Resident Taka Account <CAFNR>,General
Current Accounts <BDT>,13101005,CA FCERQ USD,General
Current Accounts <FC>,13102001,CA FCEPZ <NFCD> USD,General
Current Accounts <FC>,13102011,Current Deposits DBW USD,General
Current Accounts <FC>,13102021,CA FCDAD USD,General
Current Accounts <FC>,13102031,CA FCOTH USD,General
Current Accounts <FC>,13102041,Credit Balance IN OD/CC Accounts,General
MiSc Customer Deposit,13103001,FBPAR USD,General
Sundry Deposits <FC>,13104001,RTGS Adjusting Account,General
Sundry Deposits,13105001,RTGS FI to FI Settlement,General
Sundry Deposits,13105002,Excess Cash,General
Sundry Deposits,13105003,MasterCard Prepaid International (USD),General
Sundry Deposits,13105004,Revenue Stamp Charge Payable,General
Sundry Deposits,13105005,bKash Commission Payable,General
Sundry Deposits,13105006,Payable to Bangladesh Bank - Service Charge,General
Sundry Deposits,13105007,BEFTN Transaction,General
