Code,Name,Branch Type,active
002,Principal Branch,Urban,True
003,Panthapath Branch,Urban,True
004,Babu Bazar Branch,Urban,True
005,Agrabad Branch,Urban,True
006,Sonargaon Branch,Rural,True
007,Uttara Model Town Branch,Urban,True
008,Progati Sarani Branch,Urban,True
009,CDA Avenue Branch,Urban,True
010,Sreenagar Branch,Rural,True
011,Pallabi Branch,Urban,True
012,Dilkusha Branch,Urban,True
013,Khatungonj Branch,Urban,True
014,Dhanmondi Branch,Urban,True
015,Aman Bazar Branch,Rural,True
016,Bashundhara City Branch,Urban,True
017,Chandra Branch,Urban,True
018,Jubilee Road Branch,Urban,True
019,Nazirhat Branch,Rural,True
020,Chokoria Branch,Urban,True
021,Pabna Branch,Urban,True
022,Gulshan Branch,Urban,True
023,Sylhet Branch,Urban,True
024,Moulvi Bazar Branch,Urban,True
025,Savar Branch,Urban,True
026,Fulbaria Branch,Urban,True
027,Madaripur Branch,Urban,True
028,Dholaikhal Branch,Urban,True
029,Raipur Branch,Urban,True
030,Aganagar Branch,Rural,True
031,Joypurhat Branch,Urban,True
032,Narayanganj Branch,Urban,True
033,Rangpur Branch,Urban,True
034,Banani Branch,Urban,True
035,Kushtia Branch,Urban,True
036,Gournadi Branch,Urban,True
037,Tongi Branch,Urban,True
038,Elephant Road Branch,Urban,True
039,Feni Branch,Urban,True
040,Dania Branch,Urban,True
041,Bogura Branch,Urban,True
042,Dhorkora Bazar Branch,Rural,True
043,Mohammadpur Branch,Urban,True
044,Rajshahi Branch,Urban,True
045,Alankar Mor Branch,Urban,True
046,MTB Centre Corporate Branch,Urban,True
047,Cox's Bazar Branch,Urban,True
048,Chawk Moghaltuli Branch,Urban,True
049,Jashore Branch,Urban,True
050,Gazipur Branch,Urban,True
051,Baridhara Branch,Urban,True
052,Cumilla Branch,Urban,True
053,Oxygen Mor Branch,Urban,True
054,Mymensingh Branch,Urban,True
055,Habiganj Branch,Urban,True
056,Kerani Hat Branch,Rural,True
057,Tejgaon Branch,Urban,True
058,Thakurgaon Branch,Urban,True
059,Shahparan Gate Branch,Rural,True
060,Karnaphuli EPZ Branch,Urban,True
061,Bashundhara Branch,Urban,True
062,Shah Mokhdum Avenue Branch,Urban,True
063,Brahmanbaria Branch,Urban,True
064,Kapasia Branch,Rural,True
065,Meghna Branch,Rural,True
066,Khilpara Branch,Rural,True
067,Kamrangir Char Branch,Urban,True
068,Kakrail Branch,Urban,True
069,Narayanganj BSCIC Branch,Rural,True
070,Naogaon Branch,Urban,True
071,Gobindaganj Branch,Urban,True
072,Dinajpur Branch,Urban,True
073,Chattogram Medical College Branch,Urban,True
074,Mirpur Branch,Urban,True
075,Kadair Bazar Branch,Rural,True
076,Jamirdia Masterbari Branch,Rural,True
077,Kalurghat Industrial Area Branch,Urban,True
078,Ashulia Branch,Rural,True
079,Monipur Bazar Branch,Rural,True
080,Tangail Branch,Urban,True
081,Sirajganj Branch,Urban,True
082,Dumni Branch,Urban,True
083,Baraipara Branch,Rural,True
084,Khulna Branch,Urban,True
085,Abu Torab Bazar Branch,Rural,True
086,Muradpur Branch,Urban,True
087,MTB Tower Branch,Urban,True
088,Bormi Branch,Rural,True
089,Bagher Bazar Branch,Rural,True
090,Barishal Branch,Urban,True
091,Laldighirpar Branch,Urban,True
092,Madhabdi Branch,Urban,True
093,Goalmari Bazar Branch,Rural,True
094,Malibagh Chowdhurypara Branch,Urban,True
095,Faridpur Branch,Urban,True
096,Ulipur Branch,Rural,True
097,Hemayetpur Branch,Rural,True
098,Sarkerhat Branch,Rural,True
501,Haidergonj SME/ Agri Branch,Rural,True
502,Dagon Bhuiyan SME/ Agri Branch,Urban,True
503,Laksam SME/ Agri Branch,Urban,True
504,Naria SME/ Agri Branch,Rural,True
505,Kaliganj SME/ Agri Branch,Rural,True
506,Ramchandrapur Bazar SME/ Agri Branch,Rural,True
507,Gaffargaon SME/ Agri Branch,Urban,True
508,Ishwardi SME/ Agri Branch,Urban,True
509,Belkuchi SME/ Agri Branch,Urban,True
510,Nazumeah Hat SME/ Agri Branch,Rural,True
511,Dhanbari SME/ Agri Branch,Rural,True
512,Hasnabad SME/ Agri Branch,Rural,True
513,Syedpur SME/ Agri Branch,Rural,True
514,Sarulia Bazar SME/ Agri Branch,Urban,True
515,Mawna Branch,Rural,True
516,Mirpur-2 Branch,Urban,True
517,Rahattarpool Branch,Urban,True
