Layer,Code,Name,Type,Parent Account,active,pending,state
Layer 5,11101001,Paid up Capitals,Liabilities: Office Accounts,Paid up Capital,True,False,approve
Layer 5,11201001,General Reserves,Liabilities: Office Accounts,General Reserve,True,False,approve
Layer 5,11202001,Statutory Reserves,Liabilities: Office Accounts,Statutory Reserve,True,False,approve
Layer 5,11203001,Revaluation gain on HTM Securities,Treasury Liabilities,Revaluation Reserve,True,False,approve
Layer 5,11203002,Revaluation gain on HFT Securities (T Bill),Treasury Liabilities,Revaluation Reserve,True,False,approve
Layer 5,11203003,Revaluation gain on HFT Securities (T Bond),Treasury Liabilities,Revaluation Reserve,True,False,approve
Layer 5,11204001,Share Premiums,Liabilities: Office Accounts,Share Premium,True,False,approve
Layer 5,11205001,Retained earning,Liabilities: Office Accounts,Retained earnings,True,False,approve
Layer 5,12101001,EGBMP Fund,Liabilities: Customer Accounts,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101002,Special Repo,Treasury Liabilities,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101003,Assured Liquidity Support (ALS-Repo),Treasury Liabilities,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101004,Export Dev. Fund USD,Liabilities: Customer Accounts,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101005,Repo Bangladesh Bank,Treasury Liabilities,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12102001,JICA Fund SME,Liabilities: Customer Accounts,Borrowings under BB Pre-finance,True,False,approve
Layer 5,12103002,Taka 10 Account Holders,Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103003,Woman Enterpreneurs Fund (SME),Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103004,SME Loan Refinance,Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103005,Home Loan Refinance <Borrowings>,Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103006,ADB Fund (SME),Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103007,ADB Fund (Brick Klin),Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103008,EGBMP Fund (SME),Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103009,JICA Fund (SME),Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103010,Agro-Processing Rural Industries Fund,Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103011,Bangladesh Bank Fund (Others),Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103012,Agro-Processing Rural Industries Fund Old,Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12104001,Investment Promotion and Financing Fund (IPFF) USD,Liabilities: Customer Accounts,Investment Promotion and Financing Facility (IPFF) FC,True,False,approve
Layer 5,12104002,Investment Promotion and Financing Facility (IPFF) GBP,Liabilities: Customer Accounts,Investment Promotion and Financing Facility (IPFF) FC,True,False,approve
Layer 5,12104101,Investment Promotion and Financing Fund (IPFF) USD OBU,Liabilities: Customer Accounts,Investment Promotion and Financing Facility (IPFF) FC,True,False,approve
Layer 5,12105001,Long Term Financing Facility (LTFF) under FSSP,Liabilities: Customer Accounts,Long Term Financing Facility (LTFF),True,False,approve
Layer 5,12201001,Term Borrowing in FC <USD>,Treasury Liabilities,Term Borrowing in FC,True,False,approve
Layer 5,12201002,Term Borrowing in FC <GBP>,Treasury Liabilities,Term Borrowing in FC,True,False,approve
Layer 5,12204001,Repo T Bill,Treasury Liabilities,REPO <Borrowings under>,True,False,approve
Layer 5,12204002,Repo T Bond,Treasury Liabilities,REPO <Borrowings under>,True,False,approve
Layer 5,12205001,Call Borrowing in FC <USD>,Treasury Liabilities,Call Borrowing in FC,True,False,approve
Layer 5,12205002,Call Borrowing in FC <GBP>,Treasury Liabilities,Call Borrowing in FC,True,False,approve
Layer 5,12207001,Short Term Borrowing <USD>,Treasury Liabilities,Short Term Borrowing <FC>,True,False,approve
Layer 5,12207002,Short Term Borrowing <GBP>,Treasury Liabilities,Short Term Borrowing <FC>,True,False,approve
Layer 5,12301001,SME Foundation,Liabilities: Customer Accounts,Borrowing fm. Other Institutes,True,False,approve
Layer 5,12302001,SME Foundation Fund (MTB Youth Line),Liabilities: Customer Accounts,Borrowing under Pre-finance (Other Institute),True,False,approve
Layer 5,12302002,SME Foundation Fund (MTB Gunabati),Liabilities: Customer Accounts,Borrowing under Pre-finance (Other Institute),True,False,approve
Layer 5,12501001,Interest Payable on Borrowings from LTFF  under FSSP,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501002,Interest Payable on Borrowing -IPFF Fund USD,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501003,Interest Payable on Borrowing -IPFF Fund GBP,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501004,Interest Payable on Borrowings from BB-others,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501005,Interest Payable on Borrowings from BB-under prefinance,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501006,Interest Payable on Borrowings from BB-under Refinance,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501007,Intt Payable on Borrowing under EDF from BB,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501102,Interest Payable on Borrowing -IPFF Fund USD OBU,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12502001,Interest Payable on Term Borrowing in FC <USD>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502002,Interest Payable on Term Borrowing in FC <GBP>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502003,Interest Payable on Term Borrowings BDT,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502004,Interest Payable on Call Borrowing BDT,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
