Layer,Code,Name,Parent Account,Type,active,pending,state
Layer 5,24011012,24011012,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,24011010,24011010,Paid up Capitals,Treasury Liabilities,True,False,approve

Layer 5,41103999,41103999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,00210200,00210200,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,40590030,40590030,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,80941999,80941999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,08094999,08094999,Paid up Capitals,Treasury Liabilities,True,False,approve

Layer 5,14000110,14000110,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,07000001,07000001,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,02400016,02400016,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,01320002,01320002,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,00411999,00411999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,40118999,40118999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,02400701,02400701,Paid up Capitals,Treasury Liabilities,True,False,approve

Layer 5,02441999,02441999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,24011009,24011009,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,02100100,02100100,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,02410010,02410010,Paid up Capitals,Treasury Liabilities,True,False,approve

Layer 5,24011001,24011001,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,24011002,24011002,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,80905999,80905999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,24011004,24011004,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,05100300,05100300,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,26102001,26102001,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,04500500,04500500,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,52201001,52201001,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,00240701,00240701,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,08093999,08093999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,01900301,01900301,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,02100200,02100200,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,42310999,42310999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,04100100,04100100,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,01400400,01400400,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,80944999,80944999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,01400110,01400110,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,48094999,48094999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,48109999,48109999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,04110999,04110999,Paid up Capitals,Treasury Liabilities,True,False,approve
Layer 5,24011006,24011006,Paid up Capitals,Treasury Liabilities,True,False,approve
