Layer,Code,Parent Account,Name,,Type,active,pending,state
Layer 4,11101,111,Paid up Capital,Capital,View Type,True,False,approve
Layer 4,11201,112,General Reserve,Reserve,View Type,True,False,approve
Layer 4,11202,112,Statutory Reserve,Reserve,View Type,True,False,approve
Layer 4,11203,112,Revaluation Reserve,Reserve,View Type,True,False,approve
Layer 4,11204,112,Share Premium,Reserve,View Type,True,False,approve
Layer 4,11205,112,Retained earnings,Reserve,View Type,True,False,approve
Layer 4,11206,112,Foreign Currency Translational Gain/ Loss,Reserve,View Type,True,False,approve
Layer 4,12101,121,Borrowings under Bangladesh Bank-others,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12102,121,Borrowings under BB Pre-finance,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12103,121,Borrowings under BB Refinance,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12104,121,Investment Promotion and Financing Facility (IPFF) FC,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12105,121,Long Term Financing Facility (LTFF),Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12106,121,Borrowing under EDF from Bangladesh Bank,Borrowings under Bangladesh Bank,View Type,True,False,approve
Layer 4,12201,122,Term Borrowing in FC,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12202,122,Call Borrowing <BDT>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12203,122,Term Borrowing <BDT>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12204,122,REPO <Borrowings under>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12205,122,Call Borrowing in FC,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12206,122,Short Term Borrowing <BDT>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12207,122,Short Term Borrowing <FC>,Borrowings from other Banks,View Type,True,False,approve
Layer 4,12301,123,Borrowing fm. Other Institutes,Borrowings from other Institutions,View Type,True,False,approve
Layer 4,12302,123,Borrowing under Pre-finance (Other Institute),Borrowings from other Institutions,View Type,True,False,approve
Layer 4,12303,123,Borrowings from NBFI,Borrowings from other Institutions,View Type,True,False,approve
Layer 4,12501,125,Interest Payable on Borrowings fm BB,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,12502,125,Interest Payable on Borrowings from other Banks,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,12503,125,Interest Payable on Borrowings fm other Institution,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,12504,125,Interest Payable on Borrowings fm other Institution <prefinance>,Interest Payable on Borrowings,View Type,True,False,approve
Layer 4,13101,131,Current Accounts <BDT>,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13102,131,Current Accounts <FC>,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13103,131,MiSc Customer Deposit,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13104,131,Sundry Deposits <FC>,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13105,131,Sundry Deposits,Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13201,132,Term Deposits,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13202,132,Term Deposits Reinvestments,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13203,132,Recurring Deposit,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13204,132,Term Deposits FC,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13205,132,Special Notice Deposit,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13206,132,Savings Bank Account,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13207,132,Savings Bank Account <FC>,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13208,132,Other Deposit product,"Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13301,133,Current Deposits from other Bank,Bank & NBFI Deposits -Current & Others,View Type,True,False,approve
Layer 4,13302,133,Current Deposits from NBFI,Bank & NBFI Deposits -Current & Others,View Type,True,False,approve
Layer 4,13401,134,Bank Deposits -FD,Bank & NBFI Deposits -FD & Others,View Type,True,False,approve
Layer 4,13402,134,NBFI Deposits -FD,Bank & NBFI Deposits -FD & Others,View Type,True,False,approve
Layer 4,13501,135,Interest Payable on Current Deposits,IP on Customer Deposits -Current & Others,View Type,True,False,approve
Layer 4,13601,136,Interest Payable on TD Accounts,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13602,136,Interest Payable on Savings Bank Accounts,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13603,136,Interest payable on Recurring Deposit,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13604,136,Interest Payable on Special Notice Deposits,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13605,136,Interest Payable on Term Deposits FC,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13606,136,Interest Payable on Savings Bank Accounts FC,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13607,136,Interest payable on Term Deposits Reinvestments,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13608,136,Interest Payable on Other Deposit Products,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",View Type,True,False,approve
Layer 4,13701,137,Interest Payable on Bank Deposits,Interest Payable on Bank & NBFI Deposits,View Type,True,False,approve
Layer 4,13702,137,Interest Payable on NBFI Deposits,Interest Payable on Bank & NBFI Deposits,View Type,True,False,approve
Layer 4,13801,138,Bills Payable,Customer Deposits -Bills Payable,View Type,True,False,approve
Layer 4,14101,141,Subordinated Bond,Subordinated Bond,View Type,True,False,approve
Layer 4,14102,141,Interest on Subordinated Bond,Subordinated Bond,View Type,True,False,approve
Layer 4,14201,142,Other Bond,Other Bond,View Type,True,False,approve
Layer 4,14202,142,Interest on Other Bond,Other Bond,View Type,True,False,approve
