Layer,Code,Parent Account,Name,Type,,active,pending,state
Layer 5,11101001,11101,Paid up Capital,Liabilities: Office Accounts,Paid up Capital,True,False,approve
Layer 5,11201001,11201,General Reserve,Liabilities: Office Accounts,General Reserve,True,False,approve
Layer 5,11202001,11202,Statutory Reserve,Liabilities: Office Accounts,Statutory Reserve,True,False,approve
Layer 5,11203001,11203,Revaluation gain on HTM Securities,Treasury Liabilities,Revaluation Reserve,True,False,approve
Layer 5,11203002,11203,Revaluation gain on HFT Securities (T Bill),Treasury Liabilities,Revaluation Reserve,True,False,approve
Layer 5,11203003,11203,Revaluation gain on HFT Securities (T Bond),Treasury Liabilities,Revaluation Reserve,True,False,approve
Layer 5,11204001,11204,Share Premium,Liabilities: Office Accounts,Share Premium,True,False,approve
Layer 5,11205001,11205,Retained earnings,Liabilities: Office Accounts,Retained earnings,True,False,approve
Layer 5,11206001,11206,Foreign Currency Translational Gain/ Loss,Liabilities: Office Accounts,Foreign Currency Translational Gain/ Loss,True,False,approve
Layer 5,12101001,12101,EGBMP Fund,Liabilities: Customer Accounts,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101002,12101,Special Repo,Treasury Liabilities,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101003,12101,Assured Liquidity Support (ALS-Repo),Treasury Liabilities,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101004,12101,Export Dev. Fund USD,Liabilities: Customer Accounts,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12101005,12101,Repo Bangladesh Bank,Treasury Liabilities,Borrowings under Bangladesh Bank-others,True,False,approve
Layer 5,12102001,12102,JICA Fund SME,Liabilities: Customer Accounts,Borrowings under BB Pre-finance,True,False,approve
Layer 5,12103001,12103,"Solar Energy, Bio Gas EFT & HHK fund",Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103002,12103,Taka 10 Account Holders,Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
Layer 5,12103003,12103,Woman Enterpreneurs Fund (SME),Liabilities: Customer Accounts,Borrowings under BB Refinance,True,False,approve
