Layer,Code,Name,Parent Account,,Type,active,pending,state
Layer 5,11101001,Paid up Capital,11101,Paid up Capital,Liabilities: Office Accounts,True,False,approve
Layer 5,11201001,General Reserve,11201,General Reserve,Liabilities: Office Accounts,True,False,approve
Layer 5,11202001,Statutory Reserve,11202,Statutory Reserve,Liabilities: Office Accounts,True,False,approve
Layer 5,11203001,Revaluation gain on HTM Securities,11203,Revaluation Reserve,Treasury Liabilities,True,False,approve
Layer 5,11203002,Revaluation gain on HFT Securities (T Bill),11203,Revaluation Reserve,Treasury Liabilities,True,False,approve
Layer 5,11203003,Revaluation gain on HFT Securities (T Bond),11203,Revaluation Reserve,Treasury Liabilities,True,False,approve
Layer 5,11204001,Share Premium,11204,Share Premium,Liabilities: Office Accounts,True,False,approve
Layer 5,11205001,Retained earnings,11205,Retained earnings,Liabilities: Office Accounts,True,False,approve
Layer 5,11206001,Foreign Currency Translational Gain/ Loss,11206,Foreign Currency Translational Gain/ Loss,Liabilities: Office Accounts,True,False,approve
Layer 5,12101001,EGBMP Fund,12101,Borrowings under Bangladesh Bank-others,Liabilities: Customer Accounts,True,False,approve
Layer 5,12101002,Special Repo,12101,Borrowings under Bangladesh Bank-others,Treasury Liabilities,True,False,approve
Layer 5,12101003,Assured Liquidity Support (ALS-Repo),12101,Borrowings under Bangladesh Bank-others,Treasury Liabilities,True,False,approve
Layer 5,12101004,Export Dev. Fund USD,12101,Borrowings under Bangladesh Bank-others,Liabilities: Customer Accounts,True,False,approve
Layer 5,12101005,Repo Bangladesh Bank,12101,Borrowings under Bangladesh Bank-others,Treasury Liabilities,True,False,approve
Layer 5,12102001,JICA Fund SME,12102,Borrowings under BB Pre-finance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103001,"Solar Energy, Bio Gas EFT & HHK fund",12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103002,Taka 10 Account Holders,12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103003,Woman Enterpreneurs Fund (SME),12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103004,SME Loan Refinance,12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103005,Home Loan Refinance <Borrowings>,12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103006,ADB Fund (SME),12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103007,ADB Fund (Brick Klin),12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103008,EGBMP Fund (SME),12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103009,JICA Fund (SME),12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103010,Agro-Processing Rural Industries Fund,12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103011,Bangladesh Bank Fund (Others),12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12103012,Agro-Processing Rural Industries Fund Old,12103,Borrowings under BB Refinance,Liabilities: Customer Accounts,True,False,approve
Layer 5,12104001,Investment Promotion and Financing Fund (IPFF) USD,12104,Investment Promotion and Financing Facility (IPFF) FC,Liabilities: Customer Accounts,True,False,approve
Layer 5,12104002,Investment Promotion and Financing Facility (IPFF) GBP,12104,Investment Promotion and Financing Facility (IPFF) FC,Liabilities: Customer Accounts,True,False,approve
Layer 5,12104101,Investment Promotion and Financing Fund (IPFF) USD OBU,12104,Investment Promotion and Financing Facility (IPFF) FC,Liabilities: Customer Accounts,True,False,approve
Layer 5,12105001,Long Term Financing Facility (LTFF) under FSSP,12105,Long Term Financing Facility (LTFF),Liabilities: Customer Accounts,True,False,approve
Layer 5,12106001,Borrowing under EDF from Bangladesh Bank,12106,Borrowing under EDF from Bangladesh Bank,Liabilities: Customer Accounts,True,False,approve
Layer 5,12201001,Term Borrowing in FC <USD>,12201,Term Borrowing in FC,Treasury Liabilities,True,False,approve
Layer 5,12201002,Term Borrowing in FC <GBP>,12201,Term Borrowing in FC,Treasury Liabilities,True,False,approve
Layer 5,12202001,Call Borrowing <BDT>,12202,Call Borrowing <BDT>,Treasury Liabilities,True,False,approve
