Level,Code,Name,Parent Account,Type,active,pending,state
Fifth Level,24011012,24011012,Paid up Capital ,General,True,False,approve
Fifth Level,24011010,24011010,Paid up Capital ,General,True,False,approve
Fifth Level,00000000,00000000,Paid up Capital ,General,True,False,approve
Fifth Level,41103999,41103999,Paid up Capital ,General,True,False,approve
Fifth Level,00210200,00210200,Paid up Capital ,General,True,False,approve
Fifth Level,40590030,40590030,Paid up Capital ,General,True,False,approve
Fifth Level,80941999,80941999,Paid up Capital ,General,True,False,approve
Fifth Level,08094999,08094999,Paid up Capital ,General,True,False,approve
Fifth Level,13203003,13203003,Paid up Capital ,General,True,False,approve
Fifth Level,14000110,14000110,Paid up Capital ,General,True,False,approve
Fifth Level,07000001,07000001,Paid up Capital ,General,True,False,approve
Fifth Level,02400016,02400016,Paid up Capital ,General,True,False,approve
Fifth Level,01320002,01320002,Paid up Capital ,General,True,False,approve
Fifth Level,00411999,00411999,Paid up Capital ,General,True,False,approve
Fifth Level,40118999,40118999,Paid up Capital ,General,True,False,approve
Fifth Level,02400701,02400701,Paid up Capital ,General,True,False,approve
Fifth Level,34112003,34112003,Paid up Capital ,General,True,False,approve
Fifth Level,02441999,02441999,Paid up Capital ,General,True,False,approve
Fifth Level,24011009,24011009,Paid up Capital ,General,True,False,approve
Fifth Level,02100100,02100100,Paid up Capital ,General,True,False,approve
Fifth Level,02410010,02410010,Paid up Capital ,General,True,False,approve
Fifth Level,24103003,24103003,Paid up Capital ,General,True,False,approve
Fifth Level,24011001,24011001,Paid up Capital ,General,True,False,approve
Fifth Level,24011002,24011002,Paid up Capital ,General,True,False,approve
Fifth Level,80905999,80905999,Paid up Capital ,General,True,False,approve
Fifth Level,24011004,24011004,Paid up Capital ,General,True,False,approve
Fifth Level,05100300,05100300,Paid up Capital ,General,True,False,approve
Fifth Level,26102001,26102001,Paid up Capital ,General,True,False,approve
Fifth Level,04500500,04500500,Paid up Capital ,General,True,False,approve
Fifth Level,52201001,52201001,Paid up Capital ,General,True,False,approve
Fifth Level,00240701,00240701,Paid up Capital ,General,True,False,approve
Fifth Level,08093999,08093999,Paid up Capital ,General,True,False,approve
Fifth Level,01900301,01900301,Paid up Capital ,General,True,False,approve
Fifth Level,02100200,02100200,Paid up Capital ,General,True,False,approve
Fifth Level,42310999,42310999,Paid up Capital ,General,True,False,approve
Fifth Level,04100100,04100100,Paid up Capital ,General,True,False,approve
Fifth Level,01400400,01400400,Paid up Capital ,General,True,False,approve
Fifth Level,80944999,80944999,Paid up Capital ,General,True,False,approve
Fifth Level,01400110,01400110,Paid up Capital ,General,True,False,approve
Fifth Level,48094999,48094999,Paid up Capital ,General,True,False,approve
Fifth Level,48109999,48109999,Paid up Capital ,General,True,False,approve
Fifth Level,04110999,04110999,Paid up Capital ,General,True,False,approve
Fifth Level,24011006,24011006,Paid up Capital ,General,True,False,approve
