Layer,Code,Name,Parent Account,Type,Active,Pending,Status
Layer 2,11,Capital & Reserve,Liability,View Type,True,False,approve
Layer 2,12,Borrowings,Liability,View Type,True,False,approve
Layer 2,13,Deposits,Liability,View Type,True,False,approve
Layer 2,14,Bond,Liability,View Type,True,False,approve
Layer 2,15,Other Liabilities,Liability,View Type,True,False,approve
Layer 2,21,Cash & Bank Balance,Asset,View Type,True,False,approve
Layer 2,22,Money at Call & Short Notice,Asset,View Type,True,False,approve
Layer 2,23,Investments,Asset,View Type,True,False,approve
Layer 2,24,Loans & Advances,Asset,View Type,True,False,approve
Layer 2,25,Fixed Assets,Asset,View Type,True,False,approve
Layer 2,26,Other Assets,Asset,View Type,True,False,approve
Layer 2,90,System,System,View Type,True,False,approve
Layer 2,31,Interest Income,Income,View Type,True,False,approve
Layer 2,32,Income fm Investments,Income,View Type,True,False,approve
Layer 2,33,"Comm, Exch & Brokerage",Income,View Type,True,False,approve
Layer 2,34,Other Operating Income,Income,View Type,True,False,approve
Layer 2,41,Interest Expenses,Expenditure,View Type,True,False,approve
Layer 2,42,Non-Interest Expenses,Expenditure,View Type,True,False,approve
Layer 2,43,Provisions,Expenditure,View Type,True,False,approve
Layer 2,51,Contra,Contra & Contingent <L>,View Type,True,False,approve
Layer 2,52,Contingent,Contra & Contingent <L>,View Type,True,False,approve
Layer 2,61,Contra,Contra & Contingent <A>,View Type,True,False,approve
Layer 2,62,Contingent,Contra & Contingent <A>,View Type,True,False,approve
