Layer,Code,Name,Parent Account,,Type,Active,Pending,Status
Layer 4,11101,Paid up Capital,111,Capital,View Type,1,0,approve
Layer 4,11201,General Reserve,112,Reserve,View Type,1,0,approve
Layer 4,11202,Statutory Reserve,112,Reserve,View Type,1,0,approve
Layer 4,11203,Revaluation Reserve,112,Reserve,View Type,1,0,approve
Layer 4,11204,Share Premium,112,Reserve,View Type,1,0,approve
Layer 4,11205,Retained earnings,112,Reserve,View Type,1,0,approve
Layer 4,11206,Foreign Currency Translational Gain/ Loss,112,Reserve,View Type,1,0,approve
Layer 4,12101,Borrowings under Bangladesh Bank-others,121,Borrowings under Bangladesh Bank,View Type,1,0,approve
Layer 4,12102,Borrowings under BB Pre-finance,121,Borrowings under Bangladesh Bank,View Type,1,0,approve
Layer 4,12103,Borrowings under BB Refinance,121,Borrowings under Bangladesh Bank,View Type,1,0,approve
Layer 4,12104,Investment Promotion and Financing Facility (IPFF) FC,121,Borrowings under Bangladesh Bank,View Type,1,0,approve
Layer 4,12105,Long Term Financing Facility (LTFF),121,Borrowings under Bangladesh Bank,View Type,1,0,approve
Layer 4,12106,Borrowing under EDF from Bangladesh Bank,121,Borrowings under Bangladesh Bank,View Type,1,0,approve
Layer 4,12201,Term Borrowing in FC,122,Borrowings from other Banks,View Type,1,0,approve
Layer 4,12202,Call Borrowing <BDT>,122,Borrowings from other Banks,View Type,1,0,approve
Layer 4,12203,Term Borrowing <BDT>,122,Borrowings from other Banks,View Type,1,0,approve
Layer 4,12204,REPO <Borrowings under>,122,Borrowings from other Banks,View Type,1,0,approve
Layer 4,12205,Call Borrowing in FC,122,Borrowings from other Banks,View Type,1,0,approve
Layer 4,12206,Short Term Borrowing <BDT>,122,Borrowings from other Banks,View Type,1,0,approve
Layer 4,12207,Short Term Borrowing <FC>,122,Borrowings from other Banks,View Type,1,0,approve
Layer 4,12301,Borrowing fm. Other Institutes,123,Borrowings from other Institutions,View Type,1,0,approve
Layer 4,12302,Borrowing under Pre-finance (Other Institute),123,Borrowings from other Institutions,View Type,1,0,approve
Layer 4,12303,Borrowings from NBFI,123,Borrowings from other Institutions,View Type,1,0,approve
Layer 4,12501,Interest Payable on Borrowings fm BB,125,Interest Payable on Borrowings,View Type,1,0,approve
Layer 4,12502,Interest Payable on Borrowings from other Banks,125,Interest Payable on Borrowings,View Type,1,0,approve
Layer 4,12503,Interest Payable on Borrowings fm other Institution,125,Interest Payable on Borrowings,View Type,1,0,approve
Layer 4,12504,Interest Payable on Borrowings fm other Institution <prefinance>,125,Interest Payable on Borrowings,View Type,1,0,approve
Layer 4,13101,Current Accounts <BDT>,131,Customer Deposits -Current & Others,View Type,1,0,approve
Layer 4,13102,Current Accounts <FC>,131,Customer Deposits -Current & Others,View Type,1,0,approve
Layer 4,13103,MiSc Customer Deposit,131,Customer Deposits -Current & Others,View Type,1,0,approve
Layer 4,13104,Sundry Deposits <FC>,131,Customer Deposits -Current & Others,View Type,1,0,approve
Layer 4,13105,Sundry Deposits,131,Customer Deposits -Current & Others,View Type,1,0,approve
Layer 4,13201,Term Deposits,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
Layer 4,13202,Term Deposits Reinvestments,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
Layer 4,13203,Recurring Deposit,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
Layer 4,13204,Term Deposits FC,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
Layer 4,13205,Special Notice Deposit,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
Layer 4,13206,Savings Bank Account,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
Layer 4,13207,Savings Bank Account <FC>,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
Layer 4,13208,Other Deposit product,132,"Customer Deposits -SB, FD, RD, SND etc.",View Type,1,0,approve
