Code,Name,Location of Branch,active,pending,state
002,Principal Branch,Urban,True,False,approve
003,Panthapath Branch,Urban,True,False,approve
004,Babu Bazar Branch,Urban,True,False,approve
005,Agrabad Branch,Urban,True,False,approve
006,Sonargaon Branch,Rural,True,False,approve
007,Uttara Model Town Branch,Urban,True,False,approve
008,Progati Sarani Branch,Urban,True,False,approve
009,CDA Avenue Branch,Urban,True,False,approve
010,Sreenagar Branch,Rural,True,False,approve
011,Pallabi Branch,Urban,True,False,approve
012,Dilkusha Branch,Urban,True,False,approve
013,Khatungonj Branch,Urban,True,False,approve
014,Dhanmondi Branch,Urban,True,False,approve
015,Aman Bazar Branch,Rural,True,False,approve
016,Bashundhara City Branch,Urban,True,False,approve
017,Chandra Branch,Urban,True,False,approve
018,Jubilee Road Branch,Urban,True,False,approve
019,Nazirhat Branch,Rural,True,False,approve
020,Chokoria Branch,Urban,True,False,approve
021,Pabna Branch,Urban,True,False,approve
022,Gulshan Branch,Urban,True,False,approve
023,Sylhet Branch,Urban,True,False,approve
024,Moulvi Bazar Branch,Urban,True,False,approve
025,Savar Branch,Urban,True,False,approve
026,Fulbaria Branch,Urban,True,False,approve
027,Madaripur Branch,Urban,True,False,approve
028,Dholaikhal Branch,Urban,True,False,approve
029,Raipur Branch,Urban,True,False,approve
030,Aganagar Branch,Rural,True,False,approve
031,Joypurhat Branch,Urban,True,False,approve
032,Narayanganj Branch,Urban,True,False,approve
033,Rangpur Branch,Urban,True,False,approve
034,Banani Branch,Urban,True,False,approve
035,Kushtia Branch,Urban,True,False,approve
036,Gournadi Branch,Urban,True,False,approve
037,Tongi Branch,Urban,True,False,approve
038,Elephant Road Branch,Urban,True,False,approve
039,Feni Branch,Urban,True,False,approve
040,Dania Branch,Urban,True,False,approve
041,Bogura Branch,Urban,True,False,approve
042,Dhorkora Bazar Branch,Rural,True,False,approve
043,Mohammadpur Branch,Urban,True,False,approve
044,Rajshahi Branch,Urban,True,False,approve
045,Alankar Mor Branch,Urban,True,False,approve
046,MTB Centre Corporate Branch,Urban,True,False,approve
047,Cox's Bazar Branch,Urban,True,False,approve
048,Chawk Moghaltuli Branch,Urban,True,False,approve
049,Jashore Branch,Urban,True,False,approve
050,Gazipur Branch,Urban,True,False,approve
051,Baridhara Branch,Urban,True,False,approve
052,Cumilla Branch,Urban,True,False,approve
053,Oxygen Mor Branch,Urban,True,False,approve
054,Mymensingh Branch,Urban,True,False,approve
055,Habiganj Branch,Urban,True,False,approve
056,Kerani Hat Branch,Rural,True,False,approve
