Layer,Code,Name,Parent Account,Type,Active,Pending,Status
Layer 4,11101,Paid up Capital ,111,View Type,1,0,approve
Layer 4,11201,General Reserve ,112,View Type,1,0,approve
Layer 4,11202,Statutory Reserve ,112,View Type,1,0,approve
Layer 4,11203,Revaluation Reserve,112,View Type,1,0,approve
Layer 4,11204,Share Premium ,112,View Type,1,0,approve
Layer 4,11205,Retained earnings,112,View Type,1,0,approve
Layer 4,11206,Foreign Currency Translational Gain/ Loss,112,View Type,1,0,approve
Layer 4,12101,Borrowings under Bangladesh Bank-others,121,View Type,1,0,approve
Layer 4,12102,Borrowings under BB Pre-finance,121,View Type,1,0,approve
Layer 4,12103,Borrowings under BB Refinance,121,View Type,1,0,approve
Layer 4,12104,Investment Promotion and Financing Facility (IPFF) FC,121,View Type,1,0,approve
Layer 4,12105,Long Term Financing Facility (LTFF),121,View Type,1,0,approve
Layer 4,12106,Borrowing under EDF from Bangladesh Bank,121,View Type,1,0,approve
Layer 4,12201,Term Borrowing in FC,122,View Type,1,0,approve
Layer 4,12202,Call Borrowing <BDT>,122,View Type,1,0,approve
Layer 4,12203,Term Borrowing <BDT>,122,View Type,1,0,approve
Layer 4,12204,REPO <Borrowings under>,122,View Type,1,0,approve
Layer 4,12205,Call Borrowing in FC,122,View Type,1,0,approve
Layer 4,12206,Short Term Borrowing <BDT>,122,View Type,1,0,approve
Layer 4,12207,Short Term Borrowing <FC>,122,View Type,1,0,approve
Layer 4,12208,Overnight Borrowing <BDT>,122,View Type,1,0,approve
Layer 4,12301,Borrowing fm. Other Institutes,123,View Type,1,0,approve
Layer 4,12302,Borrowing under Pre-finance (Other Institute),123,View Type,1,0,approve
Layer 4,12303,Borrowings from NBFI,123,View Type,1,0,approve
Layer 4,12501,Interest Payable on Borrowings fm BB,125,View Type,1,0,approve
Layer 4,12502,Interest Payable on Borrowings from other Banks,125,View Type,1,0,approve
Layer 4,12503,Interest Payable on Borrowings fm other Institution,125,View Type,1,0,approve
Layer 4,12504,Interest Payable on Borrowings fm other Institution <prefinance>,125,View Type,1,0,approve
Layer 4,13101,Current Accounts <BDT>,131,View Type,1,0,approve
Layer 4,13102,Current Accounts <FC>,131,View Type,1,0,approve
Layer 4,13103,MiSc Customer Deposit,131,View Type,1,0,approve
Layer 4,13104,Sundry Deposits <FC>,131,View Type,1,0,approve
Layer 4,13105,Sundry Deposits,131,View Type,1,0,approve
Layer 4,13201,Term Deposits,132,View Type,1,0,approve
Layer 4,13202,Term Deposits Reinvestments,132,View Type,1,0,approve
Layer 4,13203,Recurring Deposit,132,View Type,1,0,approve
Layer 4,13204,Term Deposits FC,132,View Type,1,0,approve
Layer 4,13205,Special Notice Deposit,132,View Type,1,0,approve
Layer 4,13206,Savings Bank Account,132,View Type,1,0,approve
Layer 4,13207,Savings Bank Account <FC>,132,View Type,1,0,approve
Layer 4,13208,Other Deposit product,132,View Type,1,0,approve
Layer 4,13301,Current Deposits from other Bank,133,View Type,1,0,approve
Layer 4,13302,Current Deposits from NBFI,133,View Type,1,0,approve
Layer 4,13401,Bank Deposits -FD ,134,View Type,1,0,approve
Layer 4,13402,NBFI Deposits -FD ,134,View Type,1,0,approve
Layer 4,13501,Interest Payable on Current Deposits,135,View Type,1,0,approve
Layer 4,13601,Interest Payable on TD Accounts,136,View Type,1,0,approve
Layer 4,13602,Interest Payable on Savings Bank Accounts,136,View Type,1,0,approve
Layer 4,13603,Interest payable on Recurring Deposit,136,View Type,1,0,approve
Layer 4,13604,Interest Payable on Special Notice Deposits,136,View Type,1,0,approve
Layer 4,13605,Interest Payable on Term Deposits FC,136,View Type,1,0,approve
Layer 4,13606,Interest Payable on Savings Bank Accounts FC,136,View Type,1,0,approve
Layer 4,13607,Interest payable on Term Deposits Reinvestments,136,View Type,1,0,approve
Layer 4,13608,Interest Payable on Other Deposit Products,136,View Type,1,0,approve
Layer 4,13701,Interest Payable on Bank Deposits,137,View Type,1,0,approve
Layer 4,13702,Interest Payable on NBFI Deposits,137,View Type,1,0,approve
Layer 4,13801,Bills Payable,138,View Type,1,0,approve
Layer 4,14101,Subordinated Bond,141,View Type,1,0,approve
Layer 4,14102,Interest on Subordinated Bond,141,View Type,1,0,approve
Layer 4,14201,Other Bond,142,View Type,1,0,approve
Layer 4,14202,Interest on Other Bond,142,View Type,1,0,approve
Layer 4,15101,Interest Suspenses Account ,151,View Type,1,0,approve
Layer 4,15201,Clearing House Adjustment,152,View Type,1,0,approve
Layer 4,15202,Provision for Tax,152,View Type,1,0,approve
Layer 4,15203,Adjusting A/c Credit (Sundry Liab),152,View Type,1,0,approve
Layer 4,15204,Profit for the Year,152,View Type,1,0,approve
Layer 4,15205,Unearned Income,152,View Type,1,0,approve
Layer 4,15206,Liabilities under Finance Lease,152,View Type,1,0,approve
Layer 4,15207,Deferred Tax Liability,152,View Type,1,0,approve
Layer 4,15208,Staff Fund,152,View Type,1,0,approve
Layer 4,15209,Contribution to MTB Foundation,152,View Type,1,0,approve
Layer 4,15210,Repo Interest Income Account,152,View Type,1,0,approve
Layer 4,15211,Exchange Equalization Fund,152,View Type,1,0,approve
Layer 4,15212,Advance Intt. on Treasury Bill,152,View Type,1,0,approve
Layer 4,15213,NOSTRO A/c Adjustment,152,View Type,1,0,approve
Layer 4,15214,Transit A/c- Reverse Repo,152,View Type,1,0,approve
Layer 4,15215,Revaluation Gain on HFT Securities,152,View Type,1,0,approve
Layer 4,15216,VAT payable,152,View Type,1,0,approve
Layer 4,15217,Excise Duty payable,152,View Type,1,0,approve
Layer 4,15218,Source Tax <TDS> payable,152,View Type,1,0,approve
Layer 4,15219,Card Settlement Account,152,View Type,1,0,approve
Layer 4,15220,Card Settlement Account <FC>,152,View Type,1,0,approve
Layer 4,15221,NPSB Transaction Settlement,152,View Type,1,0,approve
Layer 4,15222,Agent Banking,152,View Type,1,0,approve
Layer 4,15223,Outstanding Expenses,152,View Type,1,0,approve
Layer 4,15224,Bonus Payable,152,View Type,1,0,approve
Layer 4,15225,Gratuity Payable,152,View Type,1,0,approve
Layer 4,15227,Other misc. liabilities,152,View Type,1,0,approve
Layer 4,15226,Share Money Payable,152,View Type,1,0,approve
Layer 4,15301,Provision for Advances,153,View Type,1,0,approve
Layer 4,15302,Provision for Investments,153,View Type,1,0,approve
Layer 4,15303,Provision for others,153,View Type,1,0,approve
Layer 4,15401,Accumulated Depreciation on Immovable Property,154,View Type,1,0,approve
Layer 4,15402,Accumulated Depreciation on Furniture & Fixture,154,View Type,1,0,approve
Layer 4,15403,Accumulated Depreciation on Office Equipments,154,View Type,1,0,approve
Layer 4,15404,Accumulated Depreciation on Computers,154,View Type,1,0,approve
Layer 4,15405,Accumulated Depreciation on Motor Vehicles,154,View Type,1,0,approve
Layer 4,15501,Profit and Loss for OBU,155,View Type,1,0,approve
Layer 4,15406,Accumulated Amortization of Intangible Assets,154,View Type,1,0,approve
Layer 4,15999,Miscellaneous Liabilities created for Migration,159,View Type,1,0,approve
Layer 4,21101,Cash in Hand <BDT>,211,View Type,1,0,approve
Layer 4,21102,Cash in Hand <FC>,211,View Type,1,0,approve
Layer 4,21201,Balance with BB <LCY>,212,View Type,1,0,approve
Layer 4,21202,Balance with BB  <FCY>,212,View Type,1,0,approve
Layer 4,21301,Balance with Agent Bank <BDT>,213,View Type,1,0,approve
Layer 4,21401,Other Banks & FIs in Bangladesh,214,View Type,1,0,approve
