id,name,uom_po_id/id,uom_id/id,line_ids/product_qty,line_ids/location_id/id
__export__.product_template_26777,100 piece marbel eyeshadow palette,product.product_uom_unit,product.product_uom_unit,2700,__export__.stock_location_30
__export__.product_template_25682,Ac Clean up after balm,product.product_uom_unit,product.product_uom_unit,300,__export__.stock_location_30
__export__.product_template_26649,Ac Clean up after balm,product.product_uom_unit,product.product_uom_unit,300,__export__.stock_location_30
__export__.product_template_25686,Ac Clean up after balm 23,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_25684,Ac Clean up after balm 23,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_25688,Ac Clean up after balm 7854212,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26650,Ac Clean up Cleansing Water,product.product_uom_unit,product.product_uom_unit,1300,__export__.stock_location_30
__export__.product_template_26651,Ac Clean up Gel Lotion,product.product_uom_unit,product.product_uom_unit,1100,__export__.stock_location_30
__export__.product_template_26652,Ac clean up pink powder mask ,product.product_uom_unit,product.product_uom_unit,1250,__export__.stock_location_30
__export__.product_template_26653,Ac Clean up Spot Patch,product.product_uom_unit,product.product_uom_unit,1300,__export__.stock_location_30
__export__.product_template_26654,Ac Clean Up toner ,product.product_uom_unit,product.product_uom_unit,350,__export__.stock_location_30
__export__.product_template_26655,All Around Safe block aqua sun gel,product.product_uom_unit,product.product_uom_unit,1300,__export__.stock_location_30
__export__.product_template_26656,BH Blushed Neutrals 26 color,product.product_uom_unit,product.product_uom_unit,1050,__export__.stock_location_30
__export__.product_template_26657,bh illuminate ashley,product.product_uom_unit,product.product_uom_unit,1400,__export__.stock_location_30
__export__.product_template_26658,bh Liquid Eyeliser,product.product_uom_unit,product.product_uom_unit,1800,__export__.stock_location_30
__export__.product_template_26659,bh Marble Collection,product.product_uom_unit,product.product_uom_unit,600,__export__.stock_location_30
__export__.product_template_26660,bh Metal rose 11pcs&Bag,product.product_uom_unit,product.product_uom_unit,1200,__export__.stock_location_30
__export__.product_template_26661,bh sculpt & Blend 10pcs,product.product_uom_unit,product.product_uom_unit,1500,__export__.stock_location_30
__export__.product_template_26662,BH Smokey Eyes 28 color,product.product_uom_unit,product.product_uom_unit,1200,__export__.stock_location_30
__export__.product_template_26663,BH Special occasion 39 color  ,product.product_uom_unit,product.product_uom_unit,1400,__export__.stock_location_30
__export__.product_template_26664,Cosmetics A,product.product_uom_unit,product.product_uom_unit,1400,__export__.stock_location_30
__export__.product_template_25476,Cosmetics A,product.product_uom_unit,product.product_uom_unit,1400,__export__.stock_location_30
__export__.product_template_26665,Egg forehead blackhead steam night,product.product_uom_unit,product.product_uom_unit,1,__export__.stock_location_30
__export__.product_template_26694,Elf hypershine lipgloss,product.product_uom_unit,product.product_uom_unit,1600,__export__.stock_location_30
__export__.product_template_26695,Elf Mineral eyeliner,product.product_uom_unit,product.product_uom_unit,300,__export__.stock_location_30
__export__.product_template_26696,Elf plampin lipgloss,product.product_uom_unit,product.product_uom_unit,700,__export__.stock_location_30
__export__.product_template_26697,Elf shimmer lipgloss,product.product_uom_unit,product.product_uom_unit,650,__export__.stock_location_30
__export__.product_template_26698,Elf Super Glossy lip Shine,product.product_uom_unit,product.product_uom_unit,300,__export__.stock_location_30
__export__.product_template_26699,Etude House fresh cherry tint cherry peach,product.product_uom_unit,product.product_uom_unit,300,__export__.stock_location_30
__export__.product_template_26700,Etude House fresh cherry tint cherry read,product.product_uom_unit,product.product_uom_unit,650,__export__.stock_location_30
__export__.product_template_26701,Etude House kissful lip care cherry,product.product_uom_unit,product.product_uom_unit,650,__export__.stock_location_30
__export__.product_template_26702,Etude House kissful lip care peach,product.product_uom_unit,product.product_uom_unit,450,__export__.stock_location_30
__export__.product_template_26703,Etude House kissful lip care strawberry,product.product_uom_unit,product.product_uom_unit,450,__export__.stock_location_30
__export__.product_template_26704,Etude house  wonder pore freshner,product.product_uom_unit,product.product_uom_unit,1100,__export__.stock_location_30
__export__.product_template_26666,Etude house  wonder pore freshner,product.product_uom_unit,product.product_uom_unit,1100,__export__.stock_location_30
__export__.product_template_26779,Eyelash Curler,product.product_uom_unit,product.product_uom_unit,3000,__export__.stock_location_30
__export__.product_template_26778,Eyelash Curler,product.product_uom_unit,product.product_uom_unit,3000,__export__.stock_location_30
__export__.product_template_26780,Ezzy Breezy (Skin Elixir),product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26781,innisfree bija trouble facial foam blemish,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26782,Innisfree green tea balancing cream,product.product_uom_unit,product.product_uom_unit,900,__export__.stock_location_30
__export__.product_template_26783,Innisfree green tea balancing skin,product.product_uom_unit,product.product_uom_unit,1350,__export__.stock_location_30
__export__.product_template_26784,Innisfree green tea cleansing foam,product.product_uom_unit,product.product_uom_unit,1550,__export__.stock_location_30
__export__.product_template_26785,Innisfree green tea cleansing water,product.product_uom_unit,product.product_uom_unit,900,__export__.stock_location_30
__export__.product_template_26786,innisfree it's real squeeze mask acai berry,product.product_uom_unit,product.product_uom_unit,1550,__export__.stock_location_30
__export__.product_template_26787,innisfree it's real squeeze mask bija,product.product_uom_unit,product.product_uom_unit,120,__export__.stock_location_30
__export__.product_template_26788,innisfree it's real squeeze mask cucumber,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26789,innisfree it's real squeeze mask green tea,product.product_uom_unit,product.product_uom_unit,120,__export__.stock_location_30
