id,name,product_variant_ids/id,id,line_ids/product_qty,type,uom_po_id/id,uom_id/id,line_ids/product_qty
__export__.product_product_23784,Cosmetics A,__export__.product_product_23784,__export__.product_product_23784,1400,consu,product.product_uom_unit,product.product_uom_unit,1400
__export__.product_product_23947,Ac Clean up after balm,__export__.product_product_23947,__export__.product_product_23947,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_23949,Ac Clean up after balm 23,__export__.product_product_23949,__export__.product_product_23949,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_23951,Ac Clean up after balm 23,__export__.product_product_23951,__export__.product_product_23951,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_23953,Ac Clean up after balm 7854212,__export__.product_product_23953,__export__.product_product_23953,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24873,Ac Clean up after balm,__export__.product_product_24873,__export__.product_product_24873,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24874,Ac Clean up Cleansing Water,__export__.product_product_24874,__export__.product_product_24874,1300,product,product.product_uom_unit,product.product_uom_unit,1300
__export__.product_product_24875,Ac Clean up Gel Lotion,__export__.product_product_24875,__export__.product_product_24875,1100,product,product.product_uom_unit,product.product_uom_unit,1100
__export__.product_product_24876,Ac clean up pink powder mask ,__export__.product_product_24876,__export__.product_product_24876,1250,product,product.product_uom_unit,product.product_uom_unit,1250
__export__.product_product_24877,Ac Clean up Spot Patch,__export__.product_product_24877,__export__.product_product_24877,1300,product,product.product_uom_unit,product.product_uom_unit,1300
__export__.product_product_24878,Ac Clean Up toner ,__export__.product_product_24878,__export__.product_product_24878,350,product,product.product_uom_unit,product.product_uom_unit,350
__export__.product_product_24879,All Around Safe block aqua sun gel,__export__.product_product_24879,__export__.product_product_24879,1300,product,product.product_uom_unit,product.product_uom_unit,1300
__export__.product_product_24880,BH Blushed Neutrals 26 color,__export__.product_product_24880,__export__.product_product_24880,1050,product,product.product_uom_unit,product.product_uom_unit,1050
__export__.product_product_24881,bh illuminate ashley,__export__.product_product_24881,__export__.product_product_24881,1400,product,product.product_uom_unit,product.product_uom_unit,1400
__export__.product_product_24882,bh Liquid Eyeliser,__export__.product_product_24882,__export__.product_product_24882,1800,product,product.product_uom_unit,product.product_uom_unit,1800
__export__.product_product_24883,bh Marble Collection,__export__.product_product_24883,__export__.product_product_24883,600,product,product.product_uom_unit,product.product_uom_unit,600
