Name,Can be Sold,Can be Purchased,Product Type,Sale Price,Company,Active,Cost Price,Quantity On Hand,Product Attributes/Attribute/Name,Product Attributes/Attribute/Values,Internal Category,Inventory Valuation
Ac Clean up after balm,True,True,Stockable Product,1300,FEEEL BEAUTY,True,0,7,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
Ac Clean up Cleansing Water,True,True,Stockable Product,1100,FEEEL BEAUTY,True,0,8,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
Ac Clean up Gel Lotion,True,True,Stockable Product,1250,FEEEL BEAUTY,True,0,8,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
Ac clean up pink powder mask ,True,True,Stockable Product,1300,FEEEL BEAUTY,True,0,15,Color,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Size,Color: Multi,Cosmetics,
Ac Clean up Spot Patch,True,True,Stockable Product,350,FEEEL BEAUTY,True,0,17,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
Ac Clean Up toner ,True,True,Stockable Product,1300,FEEEL BEAUTY,True,0,8,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
All Around Safe block aqua sun gel,True,True,Stockable Product,1050,FEEEL BEAUTY,True,0,20,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
BH Blushed Neutrals 26 color,True,True,Stockable Product,1400,FEEEL BEAUTY,True,0,1,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
bh illuminate ashley,True,True,Stockable Product,1800,FEEEL BEAUTY,True,0,3,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
bh Liquid Eyeliser,True,True,Stockable Product,600,FEEEL BEAUTY,True,0,1,Color,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Size,Color: Multi,Cosmetics,
bh Marble Collection,True,True,Stockable Product,1200,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
bh Metal rose 11pcs&Bag,True,True,Stockable Product,1500,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
bh sculpt & Blend 10pcs,True,True,Stockable Product,1200,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,Cosmetics,
BH Smokey Eyes 28 color,True,True,Stockable Product,1400,FEEEL BEAUTY,True,0,3,Color,Size: Free,Cosmetics,Periodical (manual)
